,SN,0,1,2
353,SDSS-II SN 19461,1.9063734,2.3293793,4.3675313
354,SDSS-II SN 19467,6.4093137,4.9868884,3.6672554
355,SDSS-II SN 19538,0.032056756,4.1587033,6.997988
356,SDSS-II SN 19539,7.832635,11.142274,4.7804728
357,SDSS-II SN 19683,-5.4572783,-2.222534,9.296869
358,SDSS-II SN 19721,-0.6073848,2.3860571,4.598254
359,SDSS-II SN 19723,4.622088,7.671186,6.545001
360,SDSS-II SN 19776,-5.698461,-3.0443466,8.693368
361,SDSS-II SN 1980,-2.1373563,2.7032108,4.4608684
362,SDSS-II SN 1982,-5.7180595,-1.0645293,12.53658
363,SDSS-II SN 1991,8.875405,10.575381,4.831118
364,SDSS-II SN 19986,-3.7659745,-1.9970372,7.57252
365,SDSS-II SN 19987,-5.8155375,0.800952,13.417045
366,SDSS-II SN 20216,3.489275,1.0797327,3.3719893
367,SDSS-II SN 20231,1.1646202,-7.192591,3.1868343
368,SDSS-II SN 20251,8.2477665,2.047822,1.8660165
369,SDSS-II SN 20257,-3.808836,-1.6242346,1.5253572
370,SDSS-II SN 20369,4.6976566,2.066661,2.7322676
371,SDSS-II SN 2041,1.5062456,5.721312,7.0385394
372,SDSS-II SN 20411,-5.8065624,-2.2312367,15.10912
373,SDSS-II SN 2042,8.165507,6.1304083,4.0537987
374,SDSS-II SN 20467,5.54894,1.8258625,5.164878
375,SDSS-II SN 20491,2.8806212,9.511863,8.3787775
376,SDSS-II SN 20497,-1.3330017,-0.44994113,6.5268517
377,SDSS-II SN 20590,6.737174,2.9352164,2.071517
378,SDSS-II SN 20591,-6.5357103,1.151136,13.406629
379,SDSS-II SN 20613,9.498623,3.9328492,2.585763
380,SDSS-II SN 20646,7.190297,3.1614316,0.77360123
381,SDSS-II SN 20721,-4.3368297,0.5683502,10.94706
382,SDSS-II SN 2078,-3.4177437,-1.2600361,9.841257
383,SDSS-II SN 20791,-3.9765723,-0.4583989,13.859735
384,SDSS-II SN 20805,-4.9062347,-2.2680218,11.883849
385,SDSS-II SN 20820,2.1790633,3.5884697,4.9222193
386,SDSS-II SN 20842,-5.9412093,-2.2360327,15.122472
387,SDSS-II SN 20861,2.1796246,-3.0189555,4.2327056
388,SDSS-II SN 20870,-4.2098837,0.8397544,11.267092
389,SDSS-II SN 20895,-5.941374,-1.096882,13.144849
390,SDSS-II SN 20916,-3.8704846,-1.890918,6.0014544
391,SDSS-II SN 2093,5.5678105,1.6411,3.6776202
392,SDSS-II SN 20953,-6.066608,-4.835001,12.974897
393,SDSS-II SN 20956,-6.035439,-2.4836113,11.6926985
394,SDSS-II SN 20969,-5.9967055,-3.2798538,2.600211
395,SDSS-II SN 21081,-5.4362082,-2.902866,10.536762
396,SDSS-II SN 21356,-6.1429086,0.27759537,12.716453
397,SDSS-II SN 21359,-3.4535003,-2.0709305,1.4731077
398,SDSS-II SN 21381,-5.673891,1.4181737,12.965233
399,SDSS-II SN 2148,-6.636934,-0.6014898,13.23074
400,SDSS-II SN 2149,4.2796373,6.303091,3.1733081
401,SDSS-II SN 21553,-5.332615,-5.5538,13.311109
402,SDSS-II SN 21709,-1.6419208,4.312498,9.889681
403,SDSS-II SN 21711,1.8170431,6.649326,8.618102
404,SDSS-II SN 2244,-1.6126012,7.8746705,9.874425
405,SDSS-II SN 2325,-5.0594425,-1.4041352,9.948986
406,SDSS-II SN 2464,7.443873,8.386487,5.4343634
407,SDSS-II SN 2615,-4.8070517,-4.040993,13.913513
408,SDSS-II SN 2630,5.2364287,7.2991295,3.5648441
409,SDSS-II SN 2808,4.9172773,3.151826,2.1223426
410,SDSS-II SN 2912,4.9506063,8.020508,6.176324
411,SDSS-II SN 3090,4.19644,3.368127,6.240728
412,SDSS-II SN 3196,-6.7431045,0.026319893,13.395715
413,SDSS-II SN 3344,-3.4776053,-0.5307595,6.9353566
414,SDSS-II SN 3368,-4.7510304,-1.2534881,4.1509476
415,SDSS-II SN 3417,1.5741471,3.7626672,5.857231
416,SDSS-II SN 3514,5.706341,1.5074606,4.2646604
417,SDSS-II SN 3529,6.5689673,2.5415654,2.1885438
418,SDSS-II SN 3533,-2.1632833,4.0628586,9.694024
419,SDSS-II SN 3558,-1.2270912,-0.91503584,8.220194
420,SDSS-II SN 3565,1.2533282,6.759103,-4.213335
421,SDSS-II SN 3983,8.062217,7.3384385,3.0466657
422,SDSS-II SN 4019,-3.7184262,1.7571797,11.353427
423,SDSS-II SN 4044,-4.6509776,-1.7208945,1.6483722
424,SDSS-II SN 4104,1.2352226,-3.435038,3.7360148
425,SDSS-II SN 4129,-1.0333507,-0.7258878,6.1339192
426,SDSS-II SN 4181,2.8085513,3.769624,2.1511507
427,SDSS-II SN 4307,-3.5735257,2.0531213,11.441775
