,SN,0,1,2,3,4
134,SN2006ok,0.34800178,1.6958877,-2.71628,0.31538856,-3.6272697
135,SN2006oo,3.2503593,-1.237512,1.1118591,0.31627983,-0.43231237
136,SN2007ih,0.54013604,1.1055459,-2.9154875,0.16971922,-3.7311077
137,SN2007mr,2.3618019,-2.467666,-2.3953104,-0.07091527,-3.932918
138,SN2007mt,0.7605708,2.1261816,-1.6116107,6.241089,4.2334228
139,SN2007nk,0.6815713,-1.3708233,-2.280978,-1.8563534,0.052393623
140,SN2007nl,1.0862885,-4.857179,-3.2934344,0.32203394,-1.7034198
141,SN2007pa,0.55729485,0.07864403,-3.3179328,-1.4030081,-0.9376341
142,SN2007qn,0.3233953,-1.6677382,-0.60281163,0.15012115,3.19692
143,SDSS-II SN 13383,-0.07803349,2.1843357,-5.383283,2.8532262,1.5035949
144,SDSS-II SN 14268,0.07381814,1.4017446,-3.5287805,0.3572355,0.25286174
145,SDSS-II SN 14792,2.4176733,-1.5487515,0.068428695,0.15572482,1.285829
146,SDSS-II SN 15697,0.31519628,2.0017285,-0.9689032,4.4751296,4.508853
147,SDSS-II SN 16467,1.0291877,0.39869446,-3.0501003,-0.15841828,-3.92599
148,SDSS-II SN 16468,-0.0330798,2.6363356,-2.504103,4.434933,3.4875963
149,SDSS-II SN 17814,1.084768,-2.4423468,-5.8346114,1.2790376,-4.384619
150,SDSS-II SN 17967,0.8968973,-1.2803067,-0.5851509,0.31992707,4.4639416
151,SDSS-II SN 19032,-0.17142034,2.9558983,-1.4054079,4.644022,4.1205072
152,SDSS-II SN 19347,-0.5223992,-3.1831408,-1.6503986,0.6992569,-1.772153
153,SDSS-II SN 20278,1.5732639,2.1833644,-0.12683159,3.1307523,3.226316
154,SDSS-II SN 7882,-1.5513165,-1.5254879,-1.6231441,1.1941212,-1.4756398
155,SN2005hp,-1.1949813,0.9270881,-2.979108,1.48562,-0.07940826
156,SN2006fk,-0.43459865,-2.6786773,-1.6048392,0.56280804,-1.7330183
157,SN2006gw,-0.77259827,0.8383002,-0.6683259,-1.9163269,4.4470134
158,SN2006la,0.037935868,-3.1391158,-3.3517754,-1.6885561,-1.79082
159,SN2006pk,-1.5137792,-1.2157369,-1.2547281,2.0748796,-1.0085094
160,SN2007ik,-0.9693909,0.7065277,-2.6107194,0.8031771,1.9047366
161,SN2007iz,-2.2137296,-0.8113341,-1.8018609,2.5007596,-0.83961076
162,SN2007jn,-0.95230377,1.014314,-3.0264366,1.2302542,-0.34498942
163,SDSS-II SN 10991,0.676909,-0.014258354,-1.0475953,1.595943,4.894491
164,SDSS-II SN 13633,1.4840221,0.96788245,-0.4571498,1.5493202,4.025186
165,SDSS-II SN 14413,1.7064984,-0.7053377,3.2989414,2.3053024,3.8124366
166,SDSS-II SN 14475,0.22736675,-2.7739494,-0.96234494,1.2185243,-1.8677558
167,SDSS-II SN 14531,1.2462347,1.5334698,0.19036065,4.189833,4.430741
168,SDSS-II SN 15184,2.0233984,-0.21054906,3.7199745,2.7162893,3.0676124
169,SDSS-II SN 17851,0.03321359,2.489609,-2.585723,5.2410383,3.8241951
170,SDSS-II SN 20045,-0.20720519,1.7817466,-2.5127957,5.554862,4.712076
171,SDSS-II SN 6333,2.9867933,-2.6492739,0.5153163,0.7019538,0.9341424
172,SDSS-II SN 6696,-1.6016994,1.2148154,-2.6255865,2.4097013,1.5759692
173,SN2005ey,1.0989337,1.0890136,-3.1959,-1.2393247,-0.37920573
174,SN2005ff,-0.5318292,0.82258993,-4.0676117,-0.33862892,-0.423861
175,SN2005fi,-1.2842014,0.66422683,-2.8550138,1.3676014,-0.36397642
176,SN2005fu,1.2846465,-1.4886309,-1.447563,-1.3968962,2.0945086
177,SN2005fz,0.7369692,-2.09381,-2.671055,-2.926873,-1.1849926
178,SN2005ge,-1.2571983,1.2076521,-2.8759232,1.9232022,0.5360451
179,SN2005hu,-1.3471442,-1.8018496,-2.626125,0.8703674,-2.3075356
180,SN2005ia,-1.1918954,-1.9629369,-1.8073777,0.91778517,-1.7285215
181,SN2005ic,-1.469671,1.2900532,-2.6667557,2.3105857,0.6617495
182,SN2005ie,-0.1549061,-1.8781515,-1.7410939,0.19160472,-2.0134513
183,SN2005ih,1.6638008,-3.7699187,-1.5300955,-0.2935406,-1.5657715
184,SN2005jh,0.8845705,0.95223385,-3.1461864,-1.0724092,-0.26586577
185,SN2005jk,-1.8236212,-0.34093308,-1.9893051,1.749891,-0.8115959
186,SN2005jo,-1.6578165,-1.1516832,-1.3725348,2.0425413,-1.0161685
187,SN2005jt,0.13295874,3.1934752,-2.0530422,4.1400533,2.5474393
188,SN2005mh,0.046493005,-2.8044925,-1.1259054,1.006219,-1.764107
189,SN2006fo,3.203084,0.2087454,-2.4163647,-1.7535197,-0.0057777567
190,SN2006gm,0.90920573,-3.6467192,-2.644693,-1.9101272,-2.3940432
191,SN2006hc,-1.2682384,-1.4465652,-1.2374996,1.8129154,-1.1742758
192,SN2006jo,-1.452845,1.2340875,-2.725826,2.1970482,1.2197695
193,SN2006jx,-1.3805919,-1.1129532,-0.8741651,2.5014744,-0.7847323
194,SN2006no,-0.7553461,-1.1835897,-0.6331149,2.5702643,-0.7459926
195,SN2007ky,-0.43840468,-2.327749,-0.9474654,1.6640863,-1.5790758
196,SN2007ny,0.34978563,1.4927417,-2.3189263,1.7610477,4.9823766
197,SDSS-II SN 10997,0.4348447,0.10577661,-1.845958,-0.8262478,1.6268343
198,SDSS-II SN 11120,0.51707065,0.7960101,-3.4584308,-0.9283766,-0.53758353
199,SDSS-II SN 11532,2.5438015,-0.004745722,-1.9752667,-1.5193621,-0.018661777
200,SDSS-II SN 12213,0.69104594,0.45675838,-0.088039145,3.440494,4.9899077
201,SDSS-II SN 1257,0.9764045,0.8179498,-1.113007,1.8737895,4.7979436
202,SDSS-II SN 12879,-0.064388104,0.719607,-2.887347,1.2249122,3.540612
203,SDSS-II SN 12936,1.2335263,-2.5251882,-2.9658315,-0.9036061,-3.1244698
204,SDSS-II SN 12939,-0.6286281,-3.092867,-3.2443695,-1.75789,-1.0927631
205,SDSS-II SN 12964,-0.08004918,2.162371,-5.194156,2.7245092,1.4789319
206,SDSS-II SN 13051,0.34898165,-3.5809925,-1.2595413,0.46903265,-1.2280402
207,SDSS-II SN 13062,-0.10480249,1.3185616,-3.2661011,1.8600425,3.2990627
208,SDSS-II SN 13076,2.686919,-4.941859,-2.3383787,1.2945108,-2.4613798
209,SDSS-II SN 13096,1.5029855,-4.144766,-3.4366865,0.26438814,-3.1233575
210,SDSS-II SN 13168,2.6696832,0.19568042,3.6617908,2.655026,2.753309
211,SDSS-II SN 13283,2.4520655,-3.567575,-0.7011932,0.29047596,-0.5007927
212,SDSS-II SN 13291,1.6037059,-4.641313,-4.0962167,1.147076,-3.5413136
213,SDSS-II SN 13330,-0.13326016,1.9956218,-3.2518656,3.322128,3.4085193
214,SDSS-II SN 13344,0.87365276,-1.1612449,-3.65803,-0.28689793,-3.7566051
215,SDSS-II SN 13395,0.71674377,-2.6001391,-5.45222,1.1051639,-3.657783
216,SDSS-II SN 13404,2.0987391,-0.29629847,2.8789918,2.166133,2.8752475
217,SDSS-II SN 1342,1.4779686,1.9901218,-0.041309703,6.064648,4.3897433
218,SDSS-II SN 13440,-0.1662628,1.7932386,-4.101775,2.535593,2.7240648
219,SDSS-II SN 13441,0.17551859,0.9357241,-2.3202372,0.34495017,2.418003
220,SDSS-II SN 13460,1.412476,-3.8367717,-3.566851,0.055827066,-3.5791492
221,SDSS-II SN 13472,1.2711446,1.2384639,0.30810794,3.5989041,4.4671445
