,SN,0,1,2,3,4,5
239,SDSS-II SN 14081,1.0646106,2.750174,2.6099312,-0.660784,0.36185682,-0.8163796
240,SDSS-II SN 14113,1.6072283,-2.0051088,-0.9873785,-0.3241135,3.8035405,-3.4826097
241,SDSS-II SN 14258,0.806108,-0.035581235,2.3120606,0.08001192,-0.56687236,-0.5977321
242,SDSS-II SN 14260,1.8906451,-1.5033208,-1.2831382,-0.6890934,4.3398023,-3.0573034
243,SDSS-II SN 14311,-2.3764794,1.5399095,-0.3995172,1.262893,-0.13514933,3.5897703
244,SDSS-II SN 14347,0.83321625,-2.1538005,-0.0877047,-1.504006,2.8230178,0.45853862
245,SDSS-II SN 14361,-2.1756847,1.1463219,3.5908453,-0.68793577,-0.16279778,-3.922337
246,SDSS-II SN 14375,2.4204898,-1.0184478,-0.7546894,-1.8531764,2.3948767,0.38400108
247,SDSS-II SN 14400,2.0813742,-1.4871837,-1.4303852,-0.92973673,4.1925783,-2.5098135
248,SDSS-II SN 14429,-1.3628496,2.1639462,3.3024156,-0.69471383,0.48743096,-2.9282372
249,SDSS-II SN 14453,-2.5011714,4.2392015,3.3147144,0.81958276,0.40422887,-0.69373506
250,SDSS-II SN 14467,2.447849,-1.272068,-1.5324792,-0.8254093,4.230259,-0.642182
251,SDSS-II SN 14493,-0.2995387,2.3616004,0.78432286,1.8768692,0.04761355,2.4303544
252,SDSS-II SN 14498,2.2141309,-0.19266447,-0.6840817,0.51222897,3.9684207,1.4745752
253,SDSS-II SN 14505,2.2911108,-1.8858699,-0.9909818,0.7719578,3.847688,0.3687522
254,SDSS-II SN 14528,-1.4998695,1.9029142,3.2628734,-0.38509232,0.5541749,-3.0238345
255,SDSS-II SN 14617,2.4110115,-1.1334704,-1.4029368,-1.5284128,3.6049883,-0.7306401
256,SDSS-II SN 1465,0.36023468,1.9735957,3.064238,0.84294575,-0.082448885,-0.6096451
257,SDSS-II SN 1470,2.3569796,-2.0611792,-1.3435915,0.42979625,4.139779,-0.3631161
258,SDSS-II SN 14821,-1.7331587,2.0024793,3.1922555,0.098606125,0.7313634,-2.8449285
259,SDSS-II SN 14964,1.0048485,0.04019823,0.16798647,1.831224,1.3485105,1.9903623
260,SDSS-II SN 1500,2.338342,-2.578619,-1.0720417,-0.63898826,2.7016442,-0.90587837
261,SDSS-II SN 15046,-2.164312,4.2948184,3.1918683,-0.27790177,0.6290484,-1.2938076
262,SDSS-II SN 15055,1.0527916,-2.50498,0.07676518,-1.1942781,2.4962173,0.2808346
263,SDSS-II SN 15160,2.4321074,-1.3032522,-1.5220183,-0.43071422,4.463863,-0.5585442
264,SDSS-II SN 15198,-0.667821,-0.100988664,2.8184688,-0.46195143,0.6178104,-2.353143
265,SDSS-II SN 15239,2.3474452,1.1187959,-1.2050122,-1.190829,4.2214723,0.7688981
266,SDSS-II SN 15272,-1.2298311,4.2414412,-0.2348815,1.0153224,1.0149844,2.7407594
267,SDSS-II SN 15289,2.4015543,-0.40333858,-1.0935585,-0.31779036,4.305657,0.8635656
268,SDSS-II SN 15309,-2.1766498,2.6749687,3.745763,-1.0650753,0.046562377,-3.0061977
269,SDSS-II SN 1535,1.8340728,-1.4769963,-1.2803333,-0.49140784,4.579409,-3.2449203
270,SDSS-II SN 15417,1.654172,1.2623394,1.3435775,-0.592849,0.29466075,0.8430277
271,SDSS-II SN 15539,0.7659788,-1.7452654,-0.07911776,-1.6394833,3.0609133,0.9054551
272,SDSS-II SN 15587,0.47133544,-2.9516938,-0.30645305,1.8125541,1.3267285,-2.5818474
273,SDSS-II SN 15751,0.5535894,3.0059502,2.7558227,0.21515888,0.22314203,-0.3938249
274,SDSS-II SN 15793,-0.44897544,2.5715694,3.0459416,-0.89747214,0.58291656,-2.2990036
275,SDSS-II SN 15903,74.65728,-155.1682,-89.50025,-3.570743,63.39054,-27.133812
