,SN,0,1,2
204,SDSS-II SN 12939,-44.61258,-0.3453638,14.896284
205,SDSS-II SN 12964,-33.301796,5.5875983,-32.250576
206,SDSS-II SN 13051,-30.492416,5.1563544,-19.650553
207,SDSS-II SN 13062,-9.943246,-7.697695,36.403347
208,SDSS-II SN 13076,15.62921,-49.208553,-56.113647
209,SDSS-II SN 13096,-34.931343,-10.708301,-42.788208
210,SDSS-II SN 13168,9.228642,-5.9787135,-78.30495
211,SDSS-II SN 13283,-22.723198,-41.88833,44.556892
212,SDSS-II SN 13291,-37.952225,-35.984215,17.26964
213,SDSS-II SN 13330,-12.871373,-62.47168,26.945965
214,SDSS-II SN 13344,-46.72494,-24.145012,-28.487507
215,SDSS-II SN 13395,-57.18987,11.88929,6.415203
216,SDSS-II SN 13404,-8.368251,-30.44567,4.0846243
217,SDSS-II SN 1342,11.47413,-38.918953,-0.19850141
218,SDSS-II SN 13440,-54.833187,-22.355265,30.941216
219,SDSS-II SN 13441,-46.26798,-29.90196,-52.949932
220,SDSS-II SN 13460,-33.93361,-30.146034,-17.137743
221,SDSS-II SN 13472,-49.7437,-55.321823,28.73852
222,SDSS-II SN 13487,-32.949585,-29.35144,-44.761284
223,SDSS-II SN 13492,-18.219257,-76.05139,-5.7850494
224,SDSS-II SN 13529,-43.216618,7.8470874,-37.64146
225,SDSS-II SN 13554,-25.484453,-13.980182,-33.61692
226,SDSS-II SN 13644,-55.14904,13.979059,53.016136
227,SDSS-II SN 13646,-32.740047,12.447432,-2.366162
228,SDSS-II SN 13675,-58.83505,-43.656116,-37.483696
229,SDSS-II SN 13699,-30.172926,-45.22026,24.260147
230,SDSS-II SN 13725,-24.868755,-3.7709897,53.801296
231,SDSS-II SN 13803,0.0754859,-21.430696,25.3797
232,SDSS-II SN 13813,-66.248474,-10.958649,11.247535
233,SDSS-II SN 13833,-14.092042,-46.44009,-69.22188
234,SDSS-II SN 13843,-0.17950968,-24.6977,-61.51991
235,SDSS-II SN 13864,-70.21879,-19.4991,-25.285555
236,SDSS-II SN 13931,-5.679468,-66.85147,-22.182808
237,SDSS-II SN 1395,-53.094135,-13.432392,5.7685485
238,SDSS-II SN 14054,-40.014065,-30.560806,44.172188
239,SDSS-II SN 14081,-28.134808,-28.184763,49.94253
240,SDSS-II SN 14113,-18.47818,-72.52248,-19.657043
241,SDSS-II SN 14258,-26.23775,-23.667719,-35.622475
242,SDSS-II SN 14260,-64.18127,-27.035725,-42.48609
243,SDSS-II SN 14311,-11.824964,-31.159523,-28.043968
244,SDSS-II SN 14347,-58.883347,-20.080605,-32.970093
245,SDSS-II SN 14361,-14.444023,-30.350111,-59.252983
246,SDSS-II SN 14375,-34.704433,-54.2509,-45.283253
247,SDSS-II SN 14400,-46.782516,-34.125908,33.486385
248,SDSS-II SN 14429,-53.624542,-22.125126,-14.620038
249,SDSS-II SN 14453,-11.882157,-10.547287,-75.00659
250,SDSS-II SN 14467,-59.888504,-2.9248276,-52.024906
251,SDSS-II SN 14493,11.161457,-32.827568,5.4222226
252,SDSS-II SN 14498,-8.910673,-84.76143,-31.187447
253,SDSS-II SN 14505,-15.510238,-39.765713,-77.146736
254,SDSS-II SN 14528,-26.262896,-5.1933703,-29.532894
255,SDSS-II SN 14617,-88.80687,-20.856825,6.137827
256,SDSS-II SN 1465,-42.443172,24.755735,43.75283
257,SDSS-II SN 1470,15.018601,-59.10438,-36.029602
258,SDSS-II SN 14821,-39.499714,-37.530907,-40.376495
259,SDSS-II SN 14964,-19.704582,6.883964,4.71329
