,SN,0,1,2,3,4,5,6,7,8
180,SN2005ia,-0.58568007,5.4603596,-2.59114,2.120863,10.052592,1.1705978,5.9202657,7.659184,-3.9102848
181,SN2005ic,1.961495,8.717164,2.20015,1.6006757,1.8642818,-0.44149175,-0.891627,4.331645,-5.1147485
182,SN2005ie,-4.8460846,6.2975626,4.3869214,-2.2437792,4.1114416,-3.675875,4.8566194,1.0641494,-2.9962516
183,SN2005ih,-5.0169845,1.4549571,2.9839194,-1.3466946,5.602713,10.072312,3.7276628,3.1242974,-1.5693742
184,SN2005jh,-3.4388611,4.855185,0.853092,7.270654,10.837384,2.0834103,3.8676887,3.2694898,3.3250914
185,SN2005jk,-8.181377,-0.041726153,1.8075819,0.37000182,1.6467227,0.8889539,1.0903091,11.391768,2.0581622
186,SN2005jo,-7.3421636,-1.5157675,4.832791,-1.1138787,4.0510178,1.3904172,3.6710856,5.6517897,0.03285175
187,SN2005jt,4.742324,-4.7280393,1.0517441,-2.055652,-1.1491693,-3.2668176,1.636975,5.1438146,-7.7261934
188,SN2005mh,-11.69213,-1.6007066,-0.4006972,-1.2161666,1.7587901,-3.2902558,0.41970032,4.280744,-6.0532355
189,SN2006fo,-5.7535515,-0.93774396,1.9904591,-3.2512214,-3.2758322,-3.856628,0.25645453,7.399809,-11.498768
190,SN2006gm,-7.1556234,2.1354752,4.158916,-0.6305204,3.2186174,-1.2250834,5.2187514,-3.8118114,-3.6986475
191,SN2006hc,0.9136578,-5.8012013,-2.466566,4.0831046,4.612565,2.5344315,-0.6202693,9.008733,-1.5012226
192,SN2006jo,-0.887324,1.6016614,-1.0540719,-4.4995866,6.801138,-2.8194883,-2.3513398,-1.4605473,-8.453742
193,SN2006jx,-2.2392871,-1.9471962,-0.22721505,0.57803464,-1.0688916,-12.314142,-2.6645005,2.1217384,-4.041332
194,SN2006no,-6.1913066,-6.9450626,-0.42281383,1.3619639,0.41593212,2.1454608,-3.6327932,6.2958694,1.1986866
195,SN2007ky,-1.4656277,6.773013,-0.9559451,-8.812931,0.850921,0.51118946,0.45494956,9.8572,-4.5398526
196,SN2007ny,-0.6143306,0.84947866,0.1006912,10.956627,0.22895205,4.556929,-1.7972538,4.587175,-0.0657408
197,SDSS-II SN 10997,0.39851737,-4.229173,1.8967189,2.6209855,13.260713,4.420353,0.08841875,5.2941036,-0.29424593
198,SDSS-II SN 11120,-8.039443,-4.791851,-0.5221374,2.4400125,7.4344172,-1.4313958,1.4171963,2.6532426,2.9972742
199,SDSS-II SN 11532,0.39930215,-71.28787,-58.178513,-48.711483,-296.04254,-96.69646,18.067041,-21.699497,-66.70025
200,SDSS-II SN 12213,3.176487,3.265692,-0.5739569,-3.4671943,-7.2468467,1.443845,-3.3616493,4.5999146,-4.2426915
201,SDSS-II SN 1257,-0.24331254,2.4627807,-4.131398,2.2914548,7.8524375,-0.11647926,6.2360764,-1.1340522,-2.04815
202,SDSS-II SN 12879,3.9817824,-2.3849359,-6.335029,3.082885,3.8282316,4.982592,1.0160289,1.1199945,-5.54267
203,SDSS-II SN 12936,-3.616941,-2.5879004,3.6013033,4.8823776,-3.134548,-1.4262041,-0.82674974,3.79012,-5.6344295
204,SDSS-II SN 12939,-6.0133057,1.528205,0.94512576,2.7418315,6.1821413,-0.03955229,-2.5917692,-2.019708,-0.49380052
205,SDSS-II SN 12964,-4.690995,3.3863673,0.8352052,2.171884,0.9076152,-6.0051637,5.1312504,5.0066805,-1.9874429
