,SN,0,1,2,3,4,5,6
104,SDSS-II SN 6288,-6.952648,-2.2944589,0.02614757,3.1216497,-6.4000764,-0.13586576,0.41632208
105,SDSS-II SN 6638,2.332702,-2.0508986,-5.6101093,-4.608315,-4.652522,-4.5539093,-3.9572034
106,SDSS-II SN 7374,3.3210711,5.6611567,8.997254,2.0090907,-2.4715674,-4.5066724,1.6719756
107,SDSS-II SN 7978,-8.592878,3.4477453,-0.41331092,4.818977,-10.389613,3.6249754,-4.6307554
108,SDSS-II SN 8165,-9.11322,-8.141122,2.6758952,0.052801505,-5.0804987,-6.0411415,-9.679986
109,SDSS-II SN 8457,0.097808264,1.3118898,8.108873,-2.6799495,-9.557703,-1.722457,9.755084
110,SN2005eg,-12.504231,-8.56206,-2.9091392,3.824966,0.36094123,-5.961404,-2.4751053
111,SN2005fe,-1.6862525,4.6882386,-3.7429514,7.4572597,-3.0536644,-8.41828,4.5083013
112,SN2005ft,-16.687672,-1.7969232,3.1967938,2.4887304,-2.1170182,-6.9744525,3.2551723
113,SN2005fv,-7.4151573,2.557734,-7.9845695,11.379377,-4.5353384,-4.053163,-3.7622943
114,SN2005fx,-1.7569563,1.3787559,-2.4931097,6.8500566,-1.3199153,-16.611816,7.3828573
115,SN2005gc,-12.129174,2.845322,-12.796325,7.888057,-1.2262625,-2.3607445,0.35594487
116,SN2005gs,-5.587614,-2.6485627,-0.2109436,0.28719395,-11.270407,-6.4738026,9.022802
117,SN2005gt,-10.079557,6.31225,-1.5451847,-1.0413952,-5.7845097,-11.098172,7.8143487
118,SN2005gu,3.5123456,4.822667,-5.750301,-2.4872258,3.0146616,-11.261085,8.722882
119,SN2005hc,-8.339242,5.504038,-2.8878593,12.025622,5.64431,2.1908052,-8.381006
120,SN2005ho,-7.753015,0.6692772,-4.1430717,15.805408,-0.07148522,2.519563,-3.6785805
121,SN2005hx,-10.9107275,0.23798223,-0.40245813,17.101257,2.645323,4.296265,4.4315677
122,SN2005id,-12.405585,4.494482,-2.140319,11.759129,-3.7323723,1.3126937,6.549029
123,SN2005ik,-8.218363,6.8202085,-1.9236134,7.682641,-7.375299,-11.974035,4.0878716
124,SN2005jb,2.4151657,-3.2880237,-2.7635126,-1.099308,0.8585762,-8.643575,3.576443
125,SN2005jf,6.226098,-2.537756,6.1147137,6.611035,-7.9979067,-2.3302672,4.4310713
126,SN2005jl,-14.288104,-0.92004466,-10.075059,5.2061944,-1.7023195,-3.702884,5.0282164
127,SN2005jy,-1.9528205,-3.9482503,-1.2970287,4.790944,-1.1521143,-11.717231,8.829716
128,SN2005jz,-5.171296,-0.8115061,0.11819202,7.018099,1.1218725,-10.895314,13.584795
129,SN2005kn,-1.4634972,10.578405,0.3763609,4.3807297,-8.156879,-8.415796,3.021986
130,SN2005li,-0.0043565864,4.557821,-7.7408557,5.6295905,-2.1816933,-14.645723,2.3460789
131,SN2006fg,0.7166023,3.8627222,1.2969341,9.310839,-9.267609,-1.4554619,-3.236476
132,SN2006fx,3.0476315,2.005288,-0.54988337,5.7248397,-3.3395586,-10.1294775,-5.779731
133,SN2006nu,-12.319475,0.7840327,-8.137933,6.944472,-8.037847,-4.580907,-4.733094
134,SN2006ok,-12.501946,1.1447043,-4.8389583,8.459424,3.9603872,-8.722153,3.8300977
135,SN2006oo,-2.5587547,6.395856,-7.359155,-5.334779,-7.554135,-1.7990525,-5.188674
136,SN2007ih,-4.621119,7.252322,-1.3100766,7.779916,-6.3149266,4.682951,4.3191824
137,SN2007mr,13.257418,2.577223,-4.38282,-2.9000292,-1.8281276,-5.9076056,-6.2240305
138,SN2007mt,-0.5487092,5.535373,11.067421,-6.956888,-4.041007,-5.8067765,3.2977343
139,SN2007nk,-5.3029637,8.529548,-8.952696,7.853571,-2.9621787,-2.6283455,4.942261
140,SN2007nl,-13.082244,-2.1371205,3.1284091,1.6892436,3.2466424,-0.54983646,-1.6742705
141,SN2007pa,-3.102135,1.7046407,-8.842454,13.800215,-1.828192,-6.122381,5.391992
142,SN2007qn,1.8999181,-3.1654198,5.7076726,-0.94571215,-2.8431482,-9.21141,5.4594464
143,SDSS-II SN 13383,-3.371855,7.453618,8.535601,9.545051,-3.3012033,-5.2235208,2.5897226
144,SDSS-II SN 14268,-8.868239,1.5021846,-2.2425578,4.3115563,1.571104,-10.455164,-6.1291895
145,SDSS-II SN 14792,3.2083654,3.1624868,-2.9578815,-16.263067,-6.2448974,-9.091381,1.9908096
146,SDSS-II SN 15697,5.899657,0.04324204,8.195173,-10.133571,-6.3469234,-11.383132,5.169396
147,SDSS-II SN 16467,3.499727,8.454919,2.8792005,6.7097297,-3.0666242,-11.557875,7.2463765
148,SDSS-II SN 16468,9.138352,0.8949241,1.9246322,-2.4476154,-1.3302966,-14.758678,-5.668021
149,SDSS-II SN 17814,-0.6064287,8.562713,-6.3358994,3.0850017,-3.6754549,-6.6519713,-7.6660247
150,SDSS-II SN 17967,-7.4162574,1.4330907,1.6058794,0.97587454,4.7022524,-16.54206,-4.5240192
151,SDSS-II SN 19032,12.359287,1.9737811,8.332082,-1.624935,-4.3960233,-11.199895,3.174401
152,SDSS-II SN 19347,-6.421661,-1.6845415,-6.3396993,9.381456,-9.566647,-12.576412,5.5721183
153,SDSS-II SN 20278,-1.5544302,1.8631432,-4.139755,-4.158683,5.632244,-14.27792,-0.3853657
154,SDSS-II SN 7882,-4.728985,6.3289013,2.1491647,7.2542653,-3.0414152,-4.869294,10.57488
155,SN2005hp,-7.2127867,-3.0465586,-4.4510317,12.8882,4.8267174,-10.844265,-1.9469649
156,SN2006fk,0.6842907,-5.2063737,1.6099045,14.648212,-3.3253627,-2.5812106,-1.6133943
157,SN2006gw,-1.2219334,-5.702165,-0.80040675,3.4945617,-13.105545,-6.387741,-5.719995
158,SN2006la,-13.016729,0.25388792,1.791647,13.998459,-0.79761785,-7.018153,-3.0107133
159,SN2006pk,-8.263371,10.658569,5.6187415,7.237068,-3.9983587,1.3985008,-2.0761993
160,SN2007ik,-14.467949,-1.3119133,3.9659636,6.48864,4.2445116,-8.71004,-4.3935523
161,SN2007iz,0.22484998,0.45653403,9.254032,-0.4322325,-11.794669,-6.366524,-4.4789762
162,SN2007jn,3.9458187,7.019306,1.1334614,-1.7264415,-8.617742,-9.240907,-7.7473984
163,SDSS-II SN 10991,2.952236,9.26846,-1.5738395,-12.182279,-2.6541057,-10.062503,1.165305
164,SDSS-II SN 13633,0.45790485,-0.7641674,3.2256699,-3.2573595,6.703693,-13.852179,-3.9174912
165,SDSS-II SN 14413,-4.2486515,-4.797602,-4.374508,11.350733,-7.0051517,-3.8674922,-7.9969306
166,SDSS-II SN 14475,8.754098,6.8198485,0.34026077,-1.0993141,-10.085709,-6.5476637,9.013587
167,SDSS-II SN 14531,1.875689,14.822722,1.152161,-1.9741648,1.6820018,-8.761406,1.0562648
168,SDSS-II SN 15184,3.8053203,2.251653,-2.0912318,2.285723,4.135773,-5.5296783,-8.637499
169,SDSS-II SN 17851,6.176723,-1.961331,8.824492,-1.5269082,-8.078154,-14.21639,4.025618
170,SDSS-II SN 20045,9.137941,1.8878465,0.81444347,-9.860856,-5.626242,-10.413219,2.5818923
171,SDSS-II SN 6333,-0.948109,1.6650233,-3.4828455,-9.039402,-15.372926,-3.669921,2.320664
172,SDSS-II SN 6696,0.60584474,1.2490244,-6.47287,-3.6784885,-4.108057,-16.837563,2.421199
173,SN2005ey,-17.346071,-1.2325721,-0.4618417,12.140323,2.5206928,0.60983706,-4.2387877
174,SN2005ff,-11.159986,9.382782,0.8730567,13.199011,1.0808095,-5.438161,0.7343751
175,SN2005fi,-9.882348,5.9046702,-10.18086,3.9292676,-2.7645202,-9.574801,-4.2957597
176,SN2005fu,-8.637031,-10.250231,-0.20942867,7.1478124,-6.5020313,-0.53520614,3.1984518
177,SN2005fz,-0.3619826,-2.7017424,-2.406663,11.0948305,-0.66041386,-14.906765,-1.0520989
178,SN2005ge,-2.7029035,4.9076905,1.3020192,14.023242,-3.7312179,-12.216883,-0.66767454
179,SN2005hu,-8.03954,1.105497,-4.9037204,9.311519,-6.0713253,-18.071089,2.1916656
180,SN2005ia,-12.525234,-3.2466667,6.4197826,7.760543,-6.0910444,-6.025791,-0.6239713
181,SN2005ic,-4.5292974,3.1233678,-2.1126094,-2.6390233,2.607435,-11.189092,11.091552
182,SN2005ie,7.0346646,-0.82520145,-0.8337248,12.584375,-0.32252637,-6.4176354,3.746001
183,SN2005ih,-6.744388,14.29164,0.13482806,1.1113045,-4.4998727,-8.911861,-3.6917558
184,SN2005jh,-13.916802,-3.9134092,-0.5059795,13.790799,-2.598965,-1.0955439,3.634454
185,SN2005jk,-3.084843,6.5123878,-5.1473923,13.660206,0.11833461,-8.210183,-2.9589362
186,SN2005jo,-4.333689,11.0868435,-1.568845,9.6640005,-2.4571714,-5.18554,-3.5585995
187,SN2005jt,11.130837,3.0112555,3.2477205,-3.0434978,1.6175164,-14.657283,7.2875557
188,SN2005mh,-2.4306715,-3.4831007,7.6523128,1.0867963,4.464376,-15.30662,-0.82314175
189,SN2006fo,6.5194626,3.9388287,1.2223892,0.17408867,-15.36555,-9.689833,3.4342172
190,SN2006gm,5.3702636,-0.48994958,1.1493472,9.653067,3.7040112,-8.032965,-2.0690634
191,SN2006hc,-12.650011,11.545135,-4.7882223,1.647113,-2.499507,-8.990897,2.5245652
192,SN2006jo,0.4959529,7.6986227,12.009229,-1.0514371,3.242718,-7.838498,-3.7903943
193,SN2006jx,12.542835,2.4089549,3.3338323,6.100097,-0.25803605,-7.0603604,5.973652
194,SN2006no,-4.1665316,15.291175,3.5992835,-0.1346464,-1.9817058,-1.8798491,1.2743248
195,SN2007ky,-4.492692,0.51228607,0.22396761,-8.144065,-11.501588,-10.390057,0.4711786
196,SN2007ny,-6.8287454,0.053758927,-8.448065,7.83542,-8.560866,2.4603324,1.9772366
197,SDSS-II SN 10997,-19.085375,4.2604675,-0.70633113,2.2293382,-4.6397038,-5.1407876,2.867039
198,SDSS-II SN 11120,-9.546818,0.06898918,4.140893,11.277751,0.07657375,0.35726032,4.62325
199,SDSS-II SN 11532,23.477997,-0.24822417,54.936707,0.30312118,-0.4381614,15.030766,-14.036043
200,SDSS-II SN 12213,6.655084,0.03999142,7.5063066,-6.4050455,-8.317196,-7.186714,9.567946
201,SDSS-II SN 1257,-10.6668,8.146428,1.6531739,0.703041,-0.7190321,3.7148125,-5.9729824
202,SDSS-II SN 12879,-6.379608,10.1561985,-4.5357313,-3.7567787,6.693917,-4.3456225,0.5243362
203,SDSS-II SN 12936,1.627068,0.3586844,-0.75582755,3.4766803,9.013925,-8.408428,3.6856735
204,SDSS-II SN 12939,-9.562349,2.0147867,4.0946803,3.406215,2.2406507,-5.1455135,7.544479
205,SDSS-II SN 12964,-3.6618657,-3.5564911,-1.755498,3.2257068,-1.4699146,-4.3021855,8.670876
206,SDSS-II SN 13051,2.3737159,-2.893888,-1.8548094,9.545285,-3.198697,-11.122153,5.7755427
207,SDSS-II SN 13062,-1.2815921,-7.587759,-7.021841,4.2217274,-8.315661,1.1258475,2.5447395
208,SDSS-II SN 13076,6.930045,3.1475897,12.432587,-3.1810029,-8.070467,-5.998315,7.412023
209,SDSS-II SN 13096,-3.5019655,-3.2643244,0.53217524,2.962613,3.6241372,-12.34629,1.5349483
210,SDSS-II SN 13168,5.1990232,11.25698,-1.8421681,-6.0289903,-7.1459794,3.726968,0.14041384
211,SDSS-II SN 13283,-4.098071,-0.8793314,-10.885721,0.016508933,-3.6404617,-7.4366837,-3.422794
212,SDSS-II SN 13291,-1.8579943,-3.5748737,0.8967274,0.50444424,-4.4490223,-5.2876964,-8.577058
213,SDSS-II SN 13330,0.36046878,-3.389954,-0.98400176,-1.1099023,-15.149367,-1.8812363,1.373622
214,SDSS-II SN 13344,-0.13095933,8.377299,0.4402834,1.8754445,-2.2105484,-13.36721,1.1662153
215,SDSS-II SN 13395,-4.9854283,-1.2137281,3.2781565,11.7891,-7.172979,-3.8624356,5.3659124
216,SDSS-II SN 13404,0.5413106,5.7732134,-9.174437,-0.96994925,-5.407941,2.103561,-8.542092
217,SDSS-II SN 1342,4.1448708,2.2713068,-1.7163434,-1.7058067,-2.4371233,-5.6915827,-14.479041
218,SDSS-II SN 13440,-12.248577,-2.863164,3.9409664,-5.608812,-4.217788,-7.258737,1.3161821
219,SDSS-II SN 13441,0.7301082,-2.0192285,5.927615,0.043838922,-4.467495,-12.448719,-1.5069354
220,SDSS-II SN 13460,3.1804345,4.885128,1.2894322,4.0618606,-5.733589,-5.174426,5.5870104
221,SDSS-II SN 13472,-6.7923164,-10.4032755,1.5044291,-3.3493013,-5.9340205,-2.5121388,-2.6566093
222,SDSS-II SN 13487,0.38483766,0.58551234,0.2207841,-4.9651623,-0.95183,-10.417316,6.163408
223,SDSS-II SN 13492,-0.23567466,7.455472,-3.6131074,-12.983678,-5.18038,-3.2706487,-1.8084105
224,SDSS-II SN 13529,-1.4766226,-2.179113,-2.0255506,5.509155,-9.243271,-7.719624,8.78538
225,SDSS-II SN 13554,-1.3058891,-1.7435666,-4.5773835,-1.1926029,4.767152,-11.555473,8.414327
