,SN,0,1
474,SDSS-II SN 8744,27.440308,-0.64163923
475,SDSS-II SN 904,28.674234,-32.711052
476,SDSS-II SN 9052,23.186869,29.128653
477,SDSS-II SN 917,15.541689,-7.114363
478,SDSS-II SN 9250,29.036442,-11.530963
479,SDSS-II SN 9326,40.72766,1.6441226
480,SDSS-II SN 9424,17.380367,-46.81685
481,SDSS-II SN 9632,44.240746,4.842344
482,SN2005fj,31.086023,3.7422862
483,SN2005gi,45.4327,33.837822
484,SN2005jq,2.7349966,-5.621342
485,SN2005kq,37.82317,29.604681
486,SN2005lo,29.812983,19.432678
487,SN2005ml,23.746725,-5.818166
488,SN2005mn,33.622894,-20.5705
489,SN2005mp,26.57784,7.546956
490,SN2006ft,41.846745,29.775568
491,SN2006gd,21.839554,-42.92495
492,SN2006ge,30.231785,-33.731255
493,SN2006gk,23.427103,1.901463
494,SN2006gl,30.306368,-32.841614
495,SN2006go,-12.854184,-28.818192
496,SN2006gp,44.03052,18.302824
497,SN2006gu,29.156458,-30.082937
498,SN2006hj,5.967463,-19.783218
499,SN2006hk,34.3584,7.683886
500,SN2006hm,29.04034,11.085762
501,SN2006hw,29.396812,4.247083
502,SN2006jg,13.843902,-46.19403
503,SN2006jz,30.934822,21.675303
504,SN2006kd,3.6348279,-0.047701333
505,SN2006ks,39.59252,28.712742
506,SN2006ll,11.398888,-32.3905
507,SN2006lq,19.137882,-21.176344
508,SN2006mz,45.490414,24.124537
509,SN2006nc,22.74665,26.609188
510,SN2006np,19.14169,-4.915645
511,SN2006nt,10.346561,-26.419222
512,SN2006nw,30.552496,-14.697694
513,SN2006op,26.891047,9.701765
514,SN2006oz,23.31912,-7.1513643
515,SN2006ph,19.674622,-31.19334
516,SN2006pj,20.63777,-9.724703
517,SN2006pm,29.154842,-16.86593
518,SN2006pn,28.635527,-14.849014
519,SN2006po,36.37711,22.909878
520,SN2006pr,24.177784,25.179302
521,SN2006pu,28.885818,-6.2594643
522,SN2006qd,29.45238,5.3669467
523,SN2006qh,29.276579,-15.656154
524,SN2006sw,30.372705,-11.578503
525,SN2006sx,26.756521,1.113951
526,SN2007fr,24.87054,21.702412
527,SN2007gl,27.731617,29.254473
528,SN2007hy,26.019474,9.87975
529,SN2007jb,32.704773,9.200622
530,SN2007jj,32.906174,30.623175
531,SN2007jv,20.667355,-15.0945215
532,SN2007kb,35.601006,-33.327896
533,SN2007kp,17.640036,-18.23667
534,SN2007la,29.099995,-13.607092
535,SN2007lf,37.11187,30.032085
536,SN2007lm,31.49744,-31.816774
537,SN2007ls,16.271742,-19.081604
538,SN2007lu,26.46362,-44.94663
539,SN2007mf,30.849169,11.899606
540,SN2007mg,30.659449,10.573058
541,SN2007mu,27.150785,-34.473316
542,SN2007nx,25.065155,29.087366
543,SN2007oa,25.29382,14.418187
544,SN2007oy,15.326723,-24.285902
545,SN2007pf,31.217075,-8.931292
546,SN2007pg,26.650887,27.813957
547,SN2007pr,41.647667,20.987694
548,SN2007ps,37.174103,-0.93721074
549,SN2007py,22.31405,-41.49859
550,SN2007qa,25.237774,27.716635
551,SN2007qd,35.26463,-2.8517098
552,SN2007qj,24.342222,26.093718
553,SN2007qs,10.086733,13.400085
554,SN2007qu,22.21421,-9.275678
555,SN2007rg,31.409443,7.5970545
556,SN2007rn,27.822515,2.4288912
557,SN2007rq,28.670677,-0.12462441
558,SN2007sl,23.28829,28.614645
559,SN2007tt,44.30862,11.301661
560,SDSS-II SN 10480,52.668053,9.151775
561,SDSS-II SN 13147,43.231712,28.754019
562,SDSS-II SN 13483,18.442898,-52.197346
563,SDSS-II SN 13820,11.996347,-6.290891
564,SDSS-II SN 1385,14.224035,-6.02837
565,SDSS-II SN 13991,3.6928682,-28.10625
566,SDSS-II SN 14121,1.2404174,-25.607723
567,SDSS-II SN 14262,41.722122,6.1629667
568,SDSS-II SN 14415,27.68456,-45.389507
569,SDSS-II SN 14635,8.108374,-3.0411606
570,SDSS-II SN 14833,10.538533,-41.81902
571,SDSS-II SN 15268,8.909836,-39.682236
572,SDSS-II SN 15358,-15.609803,-26.799788
573,SDSS-II SN 15360,8.958587,-34.571087
574,SDSS-II SN 15418,15.422731,-42.026615
575,SDSS-II SN 15814,25.183945,-38.506035
576,SDSS-II SN 16103,33.576115,8.986963
577,SDSS-II SN 17317,35.92751,21.952574
578,SDSS-II SN 17337,6.5722866,-23.546503
579,SDSS-II SN 17585,-12.785987,-30.199162
580,SDSS-II SN 17925,23.507647,-31.62052
581,SDSS-II SN 17958,16.347193,-34.924088
582,SDSS-II SN 18266,6.7397885,-15.293626
583,SDSS-II SN 18360,20.433378,-48.238533
584,SDSS-II SN 18585,3.3897622,-38.332256
585,SDSS-II SN 18589,-1.7773314,-7.871224
586,SDSS-II SN 18718,16.141642,-45.595978
587,SDSS-II SN 18836,48.219147,6.7285624
588,SDSS-II SN 18914,-8.682348,-32.698368
589,SDSS-II SN 18970,33.07779,-17.189594
590,SDSS-II SN 18986,12.263385,-24.924988
591,SDSS-II SN 18993,-15.536068,-27.953888
592,SDSS-II SN 19052,9.735299,-27.513542
