,SN,0,1,2,3,4,5
219,SDSS-II SN 13441,-14.00137,1.7259231,1.9083025,1.7833401,4.5286255,-9.274497
220,SDSS-II SN 13460,-8.420841,13.189946,-5.9578943,1.1233252,7.4493203,-7.1961927
221,SDSS-II SN 13472,-6.1268964,0.29600117,7.212159,-7.3200936,-17.52462,-1.5698271
222,SDSS-II SN 13487,-11.723032,9.044325,4.5661244,3.8986752,-2.5789022,-4.919689
223,SDSS-II SN 13492,-5.052893,7.92245,10.826902,-15.920367,8.391415,-0.3310345
224,SDSS-II SN 13529,-10.231354,4.7143054,2.8608806,-0.41486958,-16.830788,-9.1051855
225,SDSS-II SN 13554,-7.342106,8.486761,0.4669128,1.8303038,-8.158379,2.1656442
226,SDSS-II SN 13644,2.8108923,0.4870756,-19.305449,-8.443001,-7.766283,-1.2445165
227,SDSS-II SN 13646,-0.35273772,9.057631,-15.0935955,6.402557,-8.623768,-6.1281567
228,SDSS-II SN 13675,-4.494234,12.809664,-3.486217,-2.041148,-3.1020842,-15.304514
229,SDSS-II SN 13699,-10.52276,1.1196864,-3.0799398,-4.576645,10.683389,2.474462
230,SDSS-II SN 13725,-0.78711843,-6.6356745,-5.5513616,-17.847275,-3.6508574,-6.617399
231,SDSS-II SN 13803,3.809428,6.147584,-12.662667,-0.52001274,11.804727,-2.025643
232,SDSS-II SN 13813,-17.932137,-1.3941767,-7.6025443,-6.119163,-1.465987,1.038769
233,SDSS-II SN 13833,-3.0390618,-1.8012239,6.3723984,-5.125581,5.7877073,-16.096737
234,SDSS-II SN 13843,-3.7810621,6.369594,8.411427,8.550137,-7.5192256,-12.712883
235,SDSS-II SN 13864,-11.781633,8.21145,-4.1174088,-15.446169,1.4986303,-8.954173
236,SDSS-II SN 13931,-0.9221889,11.925977,5.9152217,-3.7490213,7.3758535,-4.617641
237,SDSS-II SN 1395,-10.18313,7.321923,-7.0128536,-8.731368,-4.3337708,0.6530607
238,SDSS-II SN 14054,-6.8772926,9.200519,-0.00772302,-12.228433,-2.8555815,9.924913
239,SDSS-II SN 14081,-10.73599,5.134477,-3.6000836,-0.5182717,-5.7144866,12.021803
240,SDSS-II SN 14113,-12.49324,8.621825,6.8890514,-5.4966903,8.406325,-4.7071557
241,SDSS-II SN 14258,-4.817822,14.364072,4.7550907,3.7920392,-11.783419,1.5817076
