,SN,0,1
243,SDSS-II SN 14311,-15.2744055,-18.71448
244,SDSS-II SN 14347,-3.8768575,-19.94295
245,SDSS-II SN 14361,-10.436816,-11.495229
246,SDSS-II SN 14375,-10.057565,-15.668853
247,SDSS-II SN 14400,2.2877116,-13.199742
248,SDSS-II SN 14429,-0.16423394,-16.641542
249,SDSS-II SN 14453,-11.413469,-5.3859696
250,SDSS-II SN 14467,1.7217834,-20.984653
251,SDSS-II SN 14493,-4.5267296,-3.8377404
252,SDSS-II SN 14498,-20.179136,-10.453704
253,SDSS-II SN 14505,-12.376311,-9.31006
254,SDSS-II SN 14528,-9.877772,-21.352135
255,SDSS-II SN 14617,10.075805,-18.036139
256,SDSS-II SN 1465,12.751414,-4.652658
257,SDSS-II SN 1470,-20.070978,-7.3099065
258,SDSS-II SN 14821,-10.493146,-17.67711
259,SDSS-II SN 14964,7.1213274,-1.9725267
260,SDSS-II SN 1500,-0.794994,-16.998062
261,SDSS-II SN 15046,-10.260149,-8.89189
262,SDSS-II SN 15055,-12.967136,-13.4661
263,SDSS-II SN 15160,-16.003096,-13.058143
264,SDSS-II SN 15198,1.7409217,-22.150967
265,SDSS-II SN 15239,-16.340454,-4.3500905
266,SDSS-II SN 15272,-2.064435,-25.931211
267,SDSS-II SN 15289,-7.3562818,-17.90129
268,SDSS-II SN 15309,-5.714236,-8.310712
269,SDSS-II SN 1535,-19.3658,-9.568149
270,SDSS-II SN 15417,-12.404306,-11.649681
271,SDSS-II SN 15539,-5.0818605,-8.4110985
272,SDSS-II SN 15587,8.762054,-19.277613
273,SDSS-II SN 15751,-8.667221,-16.025595
274,SDSS-II SN 15793,-13.235829,-7.6375427
275,SDSS-II SN 15903,-19.866297,-9.222667
276,SDSS-II SN 15914,18.656956,-4.177131
277,SDSS-II SN 15944,-3.1613934,-21.32646
278,SDSS-II SN 16091,-3.7132213,-20.132912
279,SDSS-II SN 1622,-13.279824,-8.588866
280,SDSS-II SN 16412,20.118309,-6.303802
281,SDSS-II SN 16436,-0.44110116,-20.199587
282,SDSS-II SN 16455,-22.65676,-11.745679
283,SDSS-II SN 16582,-20.612532,-11.857668
284,SDSS-II SN 16768,-21.627718,-4.74113
285,SDSS-II SN 16838,18.950895,-6.5085754
286,SDSS-II SN 16977,15.008633,-5.6565495
287,SDSS-II SN 17219,3.097208,-15.700322
288,SDSS-II SN 17303,6.712243,-11.084209
289,SDSS-II SN 17330,8.774923,-10.9428005
290,SDSS-II SN 17396,-20.931536,-6.8224626
291,SDSS-II SN 17422,13.574714,-11.235908
292,SDSS-II SN 17465,13.005293,-6.4402494
293,SDSS-II SN 17466,-22.878796,-8.051987
294,SDSS-II SN 1750,-19.40069,-12.622398
295,SDSS-II SN 17508,-1.695485,-18.003492
296,SDSS-II SN 17539,19.498608,-8.044756
297,SDSS-II SN 17542,2.6260638,-18.513323
298,SDSS-II SN 17620,-22.178364,-7.931761
299,SDSS-II SN 17662,10.222484,-6.083189
300,SDSS-II SN 17667,-3.4704378,-15.644316
301,SDSS-II SN 17682,-12.957366,-15.360207
302,SDSS-II SN 17729,9.104963,-6.7395105
303,SDSS-II SN 1773,-23.379171,-7.402037
304,SDSS-II SN 17748,11.125554,-11.614982
305,SDSS-II SN 17789,16.480398,-10.144291
306,SDSS-II SN 17816,-5.36917,-13.158091
307,SDSS-II SN 17853,-1.7911552,-12.61047
308,SDSS-II SN 17894,4.205192,-12.243977
309,SDSS-II SN 17906,11.771645,-10.314578
310,SDSS-II SN 17928,-4.94551,-11.381527
311,SDSS-II SN 17952,-3.2470782,-22.130123
312,SDSS-II SN 17997,-17.422794,-6.129663
313,SDSS-II SN 18058,-2.454131,-10.471248
314,SDSS-II SN 18067,10.887733,-18.814045
315,SDSS-II SN 18075,5.253283,-1.4367064
316,SDSS-II SN 18077,7.6469455,-5.8770986
317,SDSS-II SN 18101,-0.38513055,-7.1377125
318,SDSS-II SN 1821,-20.263332,-8.431847
319,SDSS-II SN 18226,8.632831,-11.840906
320,SDSS-II SN 18243,-5.084002,-20.651234
321,SDSS-II SN 18253,-7.541678,-24.758467
322,SDSS-II SN 18273,-15.133957,-13.897104
323,SDSS-II SN 18276,-11.398811,-11.382874
324,SDSS-II SN 18301,-11.893212,-10.170921
325,SDSS-II SN 18331,-3.129278,-6.8921547
326,SDSS-II SN 18376,13.506512,-7.6902823
327,SDSS-II SN 18387,-18.503872,-8.430642
328,SDSS-II SN 18405,-19.569538,-11.308672
329,SDSS-II SN 18454,-15.0428,-7.4285803
330,SDSS-II SN 18479,-9.394513,-19.431997
331,SDSS-II SN 18593,9.528653,-12.976877
332,SDSS-II SN 18598,7.299944,-13.2465925
333,SDSS-II SN 18647,0.22101466,-23.696827
334,SDSS-II SN 1866,-1.4464978,-16.465496
335,SDSS-II SN 18664,-5.0853467,-9.871427
336,SDSS-II SN 18743,-7.553835,-6.529562
337,SDSS-II SN 18848,1.659456,-6.9483657
338,SDSS-II SN 18898,16.584845,-4.9900584
339,SDSS-II SN 18917,-12.848239,-18.333307
340,SDSS-II SN 18935,-11.234771,-9.585538
341,SDSS-II SN 18943,-10.789399,-7.510703
342,SDSS-II SN 18971,-12.329555,-12.787023
343,SDSS-II SN 18973,-14.37422,-16.235643
344,SDSS-II SN 18983,14.085747,-7.030782
345,SDSS-II SN 19059,-18.033308,-17.920454
346,SDSS-II SN 19189,-15.91763,-5.0486183
347,SDSS-II SN 19209,-12.2298355,-16.170004
348,SDSS-II SN 1921,-20.11344,-14.284827
349,SDSS-II SN 19344,-21.986685,-6.61986
350,SDSS-II SN 19399,-17.676441,-13.275426
351,SDSS-II SN 19428,-1.3061279,-7.1285496
352,SDSS-II SN 19434,-16.569857,-10.998015
353,SDSS-II SN 19461,-16.78942,-12.126402
354,SDSS-II SN 19467,-9.395889,-17.123398
355,SDSS-II SN 19538,9.47756,-11.910664
356,SDSS-II SN 19539,1.800529,-12.492609
357,SDSS-II SN 19683,-8.710844,-8.013075
358,SDSS-II SN 19721,10.860083,-7.861408
359,SDSS-II SN 19723,-2.2156696,-19.349537
360,SDSS-II SN 19776,-16.180643,-7.962653
361,SDSS-II SN 1980,10.001024,-9.046973
362,SDSS-II SN 1982,0.012630372,-7.1542487
363,SDSS-II SN 1991,-15.82462,-12.923295
364,SDSS-II SN 19986,-8.790708,-12.691006
365,SDSS-II SN 19987,-16.431293,-16.841473
366,SDSS-II SN 20216,9.36667,-9.766252
367,SDSS-II SN 20231,-13.151222,-3.7606955
368,SDSS-II SN 20251,-0.51783085,-6.9682555
369,SDSS-II SN 20257,-11.347354,-15.776682
370,SDSS-II SN 20369,4.055364,-9.30074
371,SDSS-II SN 2041,-2.5281427,-8.941292
