,SN,0,1,2,3,4,5,6,7
91,SDSS-II SN 19336,6.8179255,10.535408,0.29731157,2.478658,-5.902361,-4.160828,1.0174941,1.0159241
92,SDSS-II SN 19731,-2.766976,-3.6943583,-0.6950088,8.812201,-7.1076155,4.142343,1.2019773,-3.2596464
93,SDSS-II SN 20128,-3.9730759,4.4372697,3.938008,-1.7693563,-7.9552765,4.256387,5.7601085,4.6532273
94,SDSS-II SN 20695,-2.9082208,3.2831998,-8.931455,-0.5531983,1.469263,-0.45280334,-7.666834,-2.0772884
95,SDSS-II SN 21065,8.630866,1.0142809,1.5559416,1.0506246,-4.2943816,-2.7667255,1.129865,-2.6165564
96,SDSS-II SN 21307,1.4910134,-5.4341187,-4.1334796,-6.5513716,0.20901419,-2.3300936,-3.8608243,-8.081936
97,SDSS-II SN 21663,1.7911621,-0.42443395,5.792389,-0.5336992,-8.20407,-0.02663498,1.2529349,-4.2651825
98,SDSS-II SN 3832,-8.928166,-0.713878,-4.460289,2.5291698,-6.798975,1.3344169,-2.0044315,3.494121
99,SDSS-II SN 4118,0.32722732,-2.6910744,2.2940152,-1.1868303,-2.902705,-8.1426525,4.419528,-9.133829
100,SDSS-II SN 5323,-1.9996895,-1.6455722,-4.79033,-6.622783,3.0646186,-6.5916343,5.6045756,4.594902
101,SDSS-II SN 5595,-4.689897,-4.7187734,-4.0646873,-2.2459257,0.64934254,-6.501953,3.7369523,6.793049
102,SDSS-II SN 5897,-2.6980755,-4.014443,-8.537961,-0.35285103,0.093177795,-0.662963,2.009668,-4.7458186
103,SDSS-II SN 6225,5.3347254,-2.9607248,-2.3244817,3.7551646,-5.066931,-6.0289927,-1.2335935,-7.8254414
104,SDSS-II SN 6288,-7.883158,-5.000269,4.07391,-6.5877566,0.3356179,-0.67339253,-2.3559296,2.311294
105,SDSS-II SN 6638,-3.006652,-6.2544394,-2.121798,0.2294092,-7.726564,8.516783,-1.0563095,-0.1034971
106,SDSS-II SN 7374,5.9636383,5.6781893,2.9275758,-4.0840564,-4.849043,-5.0363874,0.3114818,-3.7650516
107,SDSS-II SN 7978,-5.9850516,-1.3977836,4.7078958,-6.820305,-3.877492,0.8656611,-4.089299,-6.8979697
108,SDSS-II SN 8165,-5.7690487,-1.2872714,2.245348,-1.1980816,-1.228199,1.5026888,11.066315,-6.73142
109,SDSS-II SN 8457,3.0781562,-4.537664,11.050833,1.3572128,-6.769155,3.5316477,-2.8858094,-2.2648718
110,SN2005eg,-6.641836,-1.6776062,-0.92291605,-11.700416,0.518655,-6.039538,7.791514,1.7640488
111,SN2005fe,-6.3815746,1.4682722,-1.0695721,-4.568156,-7.518418,-2.5376723,0.6857043,-2.808958
112,SN2005ft,-6.775659,-5.7686787,-1.9285574,-12.833819,-3.2958965,-2.9019048,4.3188224,-4.70246
113,SN2005fv,-10.19847,-5.9380045,-0.334678,-2.9806573,-5.2673554,-11.227067,-1.8808099,0.78498405
114,SN2005fx,-2.2249713,0.740693,-1.7168559,-3.4132102,-11.131489,-4.366982,-8.024979,1.0170056
115,SN2005gc,-11.159683,-1.4087561,-4.971462,-6.413798,-2.4016454,-9.417966,4.583585,-0.44806015
116,SN2005gs,2.0335078,-2.3895383,-6.750525,-7.585786,-13.291379,-1.8611125,-3.9619122,-2.2154598
117,SN2005gt,2.027739,-10.474808,0.12450454,-2.3315787,-8.067354,-7.0258737,1.0068476,-1.0538187
118,SN2005gu,2.3352134,-1.4454665,-7.448085,-1.0919873,-5.212708,-4.722421,-3.6801932,6.3533955
119,SN2005hc,-7.9379168,-2.544136,-4.9645233,-8.130424,7.9984894,-4.760093,2.573966,-7.406358
120,SN2005ho,-12.090041,-2.8351746,0.5396166,-4.380853,6.020983,-7.823297,3.0448332,1.1107522
121,SN2005hx,-6.9438386,0.38540512,1.2477077,-9.42309,2.6802616,-13.682557,1.4818491,-0.6338706
122,SN2005id,-8.518694,0.11629189,0.72682166,-2.2670157,1.7144823,-14.95813,-3.8886597,-0.5199246
123,SN2005ik,2.1136663,-6.720558,-3.3905537,-1.791004,-4.7015204,-7.432204,-4.917174,-0.6952633
124,SN2005jb,3.5642946,0.25099635,-4.152032,-0.22844255,-6.295507,-1.2322903,0.64352995,-0.67786443
125,SN2005jf,6.20098,5.19894,3.5203114,-2.4570258,-3.461012,-3.3805602,8.895388,0.82640195
126,SN2005jl,-10.280359,-4.183314,-7.655199,-7.044177,-2.6735072,-7.975408,-1.3049179,0.5822071
127,SN2005jy,-0.7928437,2.7699716,-5.5676026,-1.7643307,-10.19737,-5.523112,-2.7084787,-0.24564873
128,SN2005jz,-4.1980376,1.0124413,-7.459305,-2.0660822,-11.044995,0.05117468,-1.0447232,-0.8250806
129,SN2005kn,-3.1035726,-1.0740851,3.3613384,-5.5495696,-8.691948,-1.7940949,-0.38653287,8.030496
130,SN2005li,-7.4475775,-1.1941669,-2.5253997,-5.696829,-10.455117,-1.8999413,-3.3938003,2.6190567
131,SN2006fg,3.4983199,-8.06436,7.1203566,-3.1739037,-1.7777439,-5.042767,3.3812358,-2.211481
132,SN2006fx,0.59286076,1.222799,6.285184,-1.5055552,-9.581861,-8.599302,6.154333,-0.07875543
133,SN2006nu,-13.874785,-5.336036,1.7633101,-3.8401372,-3.8409104,-6.4835687,0.47795734,-1.9073644
134,SN2006ok,1.2280691,-5.002811,6.472704,-4.4751043,-1.91715,-8.915932,-4.2756305,-0.7838532
135,SN2006oo,-6.690378,-5.115639,-0.8101671,2.8407238,-3.3174887,5.305084,-3.1624913,3.1850755
136,SN2007ih,3.6182263,-6.7848473,5.999237,-9.826193,-1.0897177,-0.147005,-1.1283883,0.3011314
137,SN2007mr,6.8621645,-6.103307,2.0561707,6.1405377,-5.3248878,2.946852,5.67701,0.23322773
138,SN2007mt,8.114607,-4.084027,6.084062,-0.022349855,-4.4067025,0.101231374,-0.3883267,-3.4172046
139,SN2007nk,0.14836487,-2.6830487,0.8133354,-3.6613371,-3.304251,-10.582793,-9.151636,1.1824385
140,SN2007nl,-1.3404863,-7.955364,-4.6677585,-8.822516,3.6042368,-5.694551,3.1653564,2.7962034
141,SN2007pa,-4.7443223,-3.2693603,-0.95316416,3.0819895,-4.03543,-10.047922,-4.3505006,0.6807156
142,SN2007qn,2.540807,-0.12841953,0.5187591,0.7323706,-6.5027385,0.47535115,6.584986,-6.6751122
143,SDSS-II SN 13383,-1.8234357,7.7589307,0.26313305,-5.659627,-3.7525792,-3.9878504,1.8575926,1.7574174
144,SDSS-II SN 14268,-4.3489943,-4.9404583,1.4014213,-1.5958356,-3.9445596,-6.2975936,7.4154487,0.36715153
145,SDSS-II SN 14792,5.1838145,-0.95949274,-0.6399238,-2.3415334,-14.330633,10.79328,-1.314478,0.15102409
146,SDSS-II SN 15697,3.191226,12.237557,1.0579869,4.9061127,-9.18468,5.1287065,1.2925041,0.14239766
147,SDSS-II SN 16467,-4.0160146,3.9534478,-0.8848411,-0.24615438,-7.23384,-5.839073,2.2662725,6.922908
148,SDSS-II SN 16468,10.386565,0.45858663,0.1583716,0.3706216,-12.279434,-1.4295758,0.34929517,2.5478973
149,SDSS-II SN 17814,-0.53736305,-3.4019883,6.3566704,-0.06854743,-5.723806,-4.7586813,-7.3781166,3.2567666
150,SDSS-II SN 17967,-1.4727368,-11.533604,1.135189,1.4337845,-4.7699738,-1.7639966,5.95018,-2.566304
151,SDSS-II SN 19032,9.526831,7.1065655,0.9398685,3.7225456,-9.917498,2.254025,7.3858457,-0.8526653
152,SDSS-II SN 19347,-3.330884,2.02226,-0.61304194,-6.5594654,-14.404018,-8.675326,2.0284562,-3.3777416
153,SDSS-II SN 20278,6.5554795,-1.7166389,-2.55833,-7.8269525,-7.7987523,2.9901097,-1.6341041,-0.5807474
154,SDSS-II SN 7882,-12.085018,3.0377016,0.91759855,0.30875987,-7.321265,-2.9735467,-0.050282594,1.7385639
155,SN2005hp,-7.1003666,-1.6166837,3.6583083,-2.8122637,-2.7256813,-8.3262615,-5.562501,-4.969809
156,SN2006fk,-6.715711,3.3511722,6.226791,-10.485602,-0.779831,-2.3125153,4.447714,-0.49917302
157,SN2006gw,-4.1482763,0.02855267,5.4050083,1.9184933,-4.0809455,-1.4446322,7.7514486,7.246659
158,SN2006la,-4.2092576,-3.1705565,-0.4086816,-12.901641,-3.7969244,-11.587089,1.5208589,2.4573748
159,SN2006pk,-4.177099,4.8238235,3.6215048,-3.3082175,-0.7956686,-7.427634,-0.5309588,-8.517703
160,SN2007ik,-4.17306,-11.942236,0.5999762,-12.750759,0.78185713,-4.4971857,4.7843266,-0.3995064
161,SN2007iz,-0.18900804,3.8647892,10.276643,-3.6762,-9.2428255,-0.5599809,1.59164,2.8827264
162,SN2007jn,1.20493,-7.5779157,-0.97183996,4.582724,-9.416494,3.301148,-1.4910727,2.616328
163,SDSS-II SN 10991,6.656837,-4.8823185,-0.6101864,-1.3874317,-12.571121,5.196871,-4.623765,1.0958931
164,SDSS-II SN 13633,5.230251,-5.2042274,-3.110244,-6.2437224,-5.2270794,5.0832505,-1.6534413,-6.9622197
165,SDSS-II SN 14413,-8.983952,-6.706143,-6.5731063,-7.437044,-1.1364753,-0.34972125,-0.94737685,-5.158903
166,SDSS-II SN 14475,2.0562966,-0.5240916,1.2074641,7.3986826,-8.925373,2.5330584,2.8386817,7.246992
167,SDSS-II SN 14531,2.7712522,1.8055397,0.5966546,-7.9130597,-5.0898666,3.4683197,-3.5670743,-6.4994607
168,SDSS-II SN 15184,1.28893,0.2607427,-3.3556468,-1.6581736,0.8224286,-0.9290996,4.969878,-0.31277484
169,SDSS-II SN 17851,7.1971135,1.3487178,6.239973,0.03968203,-9.771814,3.1384952,5.7264466,3.039669
170,SDSS-II SN 20045,5.0198174,1.1032959,0.2404667,4.860406,-11.34545,3.371955,-2.3677652,1.399523
171,SDSS-II SN 6333,-6.3990974,1.6393048,1.2092425,0.3627147,-10.477555,8.728411,1.0099713,0.61581933
172,SDSS-II SN 6696,2.634331,-6.192416,4.290341,0.43787163,-13.510874,-0.05098443,7.2126136,0.31242508
173,SN2005ey,-12.171579,-0.19097134,-0.54592586,-2.5724485,2.2061112,-10.244372,2.3330753,-6.0203114
174,SN2005ff,-5.1932793,-3.8312166,2.2087855,-9.219202,-0.85094213,-11.9226055,-5.5135884,-1.0731083
175,SN2005fi,0.60810757,-12.204006,-3.5917745,-10.629729,-6.043402,-4.150402,0.16859896,-2.2179432
176,SN2005fu,-8.039243,-10.891999,-0.12015648,-5.6565213,4.4393497,-4.174288,-1.342251,4.021786
177,SN2005fz,-3.430103,-0.4057372,2.18407,-0.934627,-10.099397,-9.096164,-5.6074615,-4.1299343
178,SN2005ge,-1.7867523,3.4370959,-6.560611,-9.8476305,-7.442842,-1.1451138,-2.3233078,-0.15123744
179,SN2005hu,-4.854702,-0.6337212,-0.86634606,-11.050747,-15.183809,-5.0068383,0.30862218,0.44523805
180,SN2005ia,-3.5098817,1.0484605,1.0155903,-11.637787,-7.9403906,-1.9052694,1.9199102,-7.5854316
181,SN2005ic,4.9427066,-0.18332955,-0.6780079,-6.7688036,-10.225498,-2.9666007,-3.9168162,4.4591675
182,SN2005ie,0.021780934,0.9750385,-4.327611,0.4759742,-4.0721517,-7.0958486,-7.87973,-5.6376843
183,SN2005ih,-2.8056557,3.1723146,1.2908741,-11.289425,-7.322132,1.8230497,-0.8441031,3.9274023
184,SN2005jh,-5.7276278,0.28222567,-3.0912514,-4.1002364,0.36918184,-9.324148,-9.308565,-1.3101748
185,SN2005jk,-2.4031122,-4.2934556,-6.9647236,-7.783024,-5.2725167,-3.9165463,-5.003975,-0.2680217
186,SN2005jo,-0.8744931,0.95788753,-2.8236372,-9.399813,-4.350139,-4.6766458,-8.442571,0.13438784
187,SN2005jt,4.3059397,2.9007018,0.5405479,-1.500683,-6.697996,-3.1377668,1.6759568,9.596769
188,SN2005mh,1.6732185,4.714126,0.27285457,-7.9753146,-7.8699756,1.8582917,3.387575,-2.69264
189,SN2006fo,1.6329182,-4.005696,-1.5477027,3.3297918,-12.481954,2.0523384,6.458672,5.671393
190,SN2006gm,1.4531833,0.12457284,-10.102084,-2.2688134,-3.4690125,-5.7284856,-6.25534,-1.8310671
191,SN2006hc,-4.508651,-13.020831,1.146677,-4.6492677,-4.1212034,-2.6536522,-3.3177166,0.45285958
192,SN2006jo,4.1304865,0.4863348,3.2958794,3.6782088,-11.697019,-6.049,-2.7953908,-0.9709632
193,SN2006jx,13.44437,-4.649851,-1.4300647,-0.07145086,-1.6333517,-0.027878711,0.46665064,-0.23160744
194,SN2006no,3.0379257,-1.9835136,-5.856903,-6.542685,-2.240023,-1.179398,10.598103,0.6171191
195,SN2007ky,-2.2936995,0.03326504,6.9116745,1.0308442,-15.364604,-0.83646214,2.0860524,-2.5271895
196,SN2007ny,-9.904218,2.3782172,2.5359325,-1.0757065,-1.5729628,-4.081128,-6.581191,1.1834158
197,SDSS-II SN 10997,-7.774213,-8.634801,-0.80323184,-15.709545,-3.9875755,-2.4513962,0.2790603,0.5894125
198,SDSS-II SN 11120,-0.23951325,-2.1569903,2.4500654,-5.5891914,1.3776032,-12.009361,-0.6055315,-3.0457277
199,SDSS-II SN 11532,52.94683,-12.230512,25.257906,-18.563486,5.3600063,24.89378,-8.663604,-1.6929728
200,SDSS-II SN 12213,2.874354,7.5851307,2.3060598,2.8253577,-8.736094,0.6503479,2.9115388,-0.15330075
201,SDSS-II SN 1257,-5.0243134,-7.1085567,0.7721211,-9.298811,-0.41219014,-1.3176832,-3.4341578,-4.3496904
