0,1,2,3,4,5,6,7,8
SDSS-II SN 13716 (g'r'i'),-1.8380537,-0.4985598,0.5407688,0.21158618,-1.6851292,-1.1386894,1.3605855,1.0037804
SDSS-II SN 13719 (g'r'i'),1.7499605,0.64704597,3.1273162,0.32707962,0.9581257,-0.8974182,-1.0865912,-3.081273
SDSS-II SN 13725 (g'r'i'),2.9682105,-0.3653073,0.20437442,-1.1062585,2.6574392,0.7370588,-2.2847795,-6.6603856
SDSS-II SN 13729 (g'r'i'),-0.53017265,0.3119056,1.6277,1.4313564,-2.426538,-1.203941,0.5076328,1.901958
SDSS-II SN 13732 (g'r'i'),-0.757437,-0.36968172,1.1421112,-1.520054,0.11854933,-2.4751036,0.5206013,-0.56401974
SDSS-II SN 13741 (g'r'i'),2.928394,-0.0016182954,2.1419072,-0.2890693,2.1608434,1.6746945,-2.1286826,-5.611587
SDSS-II SN 13750 (g'r'i'),-1.2534415,0.12493178,0.73964435,2.7411153,-0.71756953,-1.9192959,-0.07935472,1.5443374
SDSS-II SN 13767 (g'r'i'),2.871209,0.29502577,1.7892597,0.25304073,2.3042443,0.71591634,-2.3679016,-5.36922
SDSS-II SN 13768 (g'r'i'),-1.1436245,-0.4269136,1.0997347,-0.12237982,-2.403242,-0.437697,0.15338102,-0.19596301
SDSS-II SN 1378 (g'r'i'),-0.20606907,0.5065037,1.8108892,-0.364585,0.16457205,-0.20646288,-1.0481306,-1.8180665
SDSS-II SN 13784 (g'r'i'),0.8173481,1.1161965,0.48659092,-1.1054937,2.0942597,-0.4604173,-0.2066921,-2.3461568
SDSS-II SN 13786 (g'r'i'),-1.9427042,0.14927357,2.055531,0.3633334,-2.6487443,-0.33037296,-0.7820757,0.27624243
SDSS-II SN 13803 (g'r'i'),2.359544,-0.5228646,2.4010746,0.5485184,0.70775247,0.89122367,-1.1779425,-3.3298492
SDSS-II SN 13813 (g'r'i'),-1.546098,-0.45254037,0.92391187,-0.006894028,-2.557533,0.0936198,0.054723796,0.24876504
SDSS-II SN 13815 (g'r'i'),0.8665391,0.6232049,2.4916892,0.47265446,1.7452838,0.42401385,-1.5986068,-3.2025933
