,SN,0,1,2,3,4
148,SDSS-II SN 16468,-2.6811168,6.354603,-19.968761,-14.459666,-9.501519
149,SDSS-II SN 17814,1.3108939,5.3688273,12.682028,-20.038624,-0.17884694
150,SDSS-II SN 17967,17.166365,17.891857,0.5657972,-13.172413,-12.224859
151,SDSS-II SN 19032,-21.106134,-4.4031253,-17.844196,-12.422659,-13.964314
152,SDSS-II SN 19347,15.646232,-3.86079,-1.6701864,-9.935293,-28.910618
153,SDSS-II SN 20278,-13.0104885,-8.403164,-8.267556,1.5448161,-27.498278
154,SDSS-II SN 7882,15.287239,-9.096245,-12.969561,-1.6297331,-16.95073
155,SN2005hp,-6.4113226,0.8862344,12.513709,9.76036,-23.7443
156,SN2006fk,17.518967,6.033886,1.8969033,-1.0027182,-32.64481
157,SN2006gw,-10.060843,25.954428,7.21806,-7.0435514,-12.250089
158,SN2006la,21.400208,-0.18834035,20.966166,-0.603205,-22.734354
159,SN2006pk,22.807829,-6.6770334,2.2111554,-11.453656,-5.7543654
160,SN2007ik,20.964952,-2.5220294,25.233652,-5.574437,-12.709971
161,SN2007iz,-22.739834,7.057672,-10.127777,11.518089,-15.957202
162,SN2007jn,-10.155783,10.656657,-1.9902288,-26.298565,-10.928424
163,SDSS-II SN 10991,-17.691242,6.744152,2.2596169,-23.667341,-3.0712948
164,SDSS-II SN 13633,-4.4425426,-3.74926,-12.864119,0.44177818,-26.657095
165,SDSS-II SN 14413,11.750342,4.7200174,16.33514,-17.194323,3.3587995
166,SDSS-II SN 14475,-13.124443,-7.431621,-16.141603,-23.791166,-8.808007
167,SDSS-II SN 14531,-9.492876,-8.289499,-3.3304858,11.671538,-22.214602
168,SDSS-II SN 15184,9.644379,5.725984,-7.9803104,5.8081045,-5.1625566
169,SDSS-II SN 17851,-12.766597,-0.21911342,-17.9276,-8.950578,-19.17182
170,SDSS-II SN 20045,-19.512548,6.8693914,-14.175188,-12.986779,-7.677482
171,SDSS-II SN 6333,-19.276634,21.89875,-1.4387689,-6.4778666,-13.264147
172,SDSS-II SN 6696,-19.321777,8.002214,-3.4634156,-6.297167,-27.096415
173,SN2005ey,20.220139,10.946394,3.8848531,19.372026,-10.004809
174,SN2005ff,24.898039,4.683479,7.6019373,5.8057613,-20.669966
175,SN2005fi,-1.4182044,0.12669131,20.751274,2.569541,-23.298235
176,SN2005fu,-4.663604,-0.16604903,16.233494,19.280447,-15.69422
177,SN2005fz,2.9612274,-10.67657,8.764552,8.176108,-22.019297
178,SN2005ge,14.870794,-1.3042152,-10.059619,-0.49882865,-24.800222
179,SN2005hu,11.054274,3.4764562,-6.366368,-10.887064,-29.164665
180,SN2005ia,16.009407,-1.4908546,9.025343,-18.03905,-18.939299
181,SN2005ic,-10.503622,-12.021204,5.4060326,-8.559171,-21.608965
182,SN2005ie,-5.872336,-14.67932,12.265842,-0.34617847,-15.790787
183,SN2005ih,14.292258,5.250522,-13.821821,-7.690649,-18.89355
184,SN2005jh,24.443106,9.458508,8.045324,9.731458,-10.871074
185,SN2005jk,9.876817,3.520494,-3.5692904,4.868995,-26.607227
186,SN2005jo,15.143561,8.609897,-4.482462,0.09712026,-22.491442
187,SN2005jt,-12.970704,-13.514612,-15.98206,-14.710577,-12.560369
188,SN2005mh,4.049648,-0.94437975,-10.007507,-2.1033208,-28.560247
189,SN2006fo,-10.893155,-0.23056853,-10.665814,-24.421907,-12.814029
190,SN2006gm,-2.2395082,-23.441854,10.307682,-0.107651696,-16.006237
191,SN2006hc,14.622404,15.644128,6.3688784,11.195271,-17.355665
192,SN2006jo,9.005912,-7.1750956,-23.147453,-5.900405,-15.437804
193,SN2006jx,-21.097992,-16.74662,-9.077528,1.509039,-10.384181
194,SN2006no,4.3526287,15.878096,1.0312327,8.639921,-16.797829
195,SN2007ky,-3.702468,16.075045,-14.537748,-12.690822,-17.800228
196,SN2007ny,4.4629846,3.0613463,11.374495,-1.1572292,-2.9084165
197,SDSS-II SN 10997,18.499464,8.005153,20.284922,-3.3871229,-18.429348
198,SDSS-II SN 11120,22.766508,3.2401927,4.166388,3.6937227,-7.417037
199,SDSS-II SN 11532,6.02906,27.058893,9.502611,2.1346183,-15.661719
200,SDSS-II SN 12213,-19.710745,4.346431,-22.06911,-2.2133229,-9.280835
201,SDSS-II SN 1257,11.997798,0.099824004,18.782,-8.890411,-10.218473
202,SDSS-II SN 12879,4.502065,-11.989375,6.7998676,-20.612682,-12.272412
203,SDSS-II SN 12936,-5.7642984,-12.795524,-8.683197,2.1552813,-20.201157
204,SDSS-II SN 12939,20.193787,0.4402837,2.8712919,-7.064652,-13.232227
205,SDSS-II SN 12964,-5.597797,-11.622355,3.114647,1.4258511,-24.801056
206,SDSS-II SN 13051,-0.34028703,-12.28805,4.484933,1.650489,-15.154544
207,SDSS-II SN 13062,-6.800755,10.136677,18.834112,-3.5637522,-0.08790151
208,SDSS-II SN 13076,-16.144518,6.8372188,-27.53148,0.021604462,-6.1282487
209,SDSS-II SN 13096,4.5990143,-4.592423,-11.768052,-3.732583,-19.761347
210,SDSS-II SN 13168,-6.3465424,-2.5284038,-28.375126,9.902933,-8.2681055
211,SDSS-II SN 13283,-5.954364,14.6846,18.00743,-8.623484,-9.768761
212,SDSS-II SN 13291,2.303189,13.5722,10.51595,-18.261501,-9.134108
213,SDSS-II SN 13330,-12.92366,14.160495,2.831136,-3.7978363,-8.530517
214,SDSS-II SN 13344,-5.785661,4.045543,0.40646613,-3.8963494,-21.15688
215,SDSS-II SN 13395,15.771073,1.0061779,-10.865226,6.5155234,-15.740799
216,SDSS-II SN 13404,2.8943417,20.7566,-8.466583,0.46304342,5.33922
217,SDSS-II SN 1342,12.580259,1.4423488,-8.983992,-14.723192,0.096917905
218,SDSS-II SN 13440,-1.3750879,1.7943565,16.077394,-21.190815,-13.698978
219,SDSS-II SN 13441,-2.569517,10.137493,-9.232143,2.3334508,-21.13525
220,SDSS-II SN 13460,-4.2728386,1.9584061,-1.1076965,-9.673146,-11.73543
221,SDSS-II SN 13472,2.4968493,28.720627,8.914601,-7.0229473,-2.0449367
222,SDSS-II SN 13487,-8.867739,-3.9255104,-6.6717486,-3.375702,-18.10092
