,SN,0,1,2,3,4
192,SN2006jo,3.7940373,-17.191198,-8.079805,20.094614,5.7133784
193,SN2006jx,2.906209,-3.9653847,21.042027,-1.6844116,-5.38648
194,SN2006no,8.915333,-5.5476055,-7.2261124,20.354744,-4.8016725
195,SN2007ky,9.847737,-29.199585,-1.3310592,5.088984,-1.808591
196,SN2007ny,5.1533694,-3.189899,-25.476866,2.5742817,-10.025167
197,SDSS-II SN 10997,-10.424131,-11.741661,-17.782051,8.519044,-22.013435
198,SDSS-II SN 11120,4.945635,-1.5901604,-7.6495585,-8.722998,-20.50301
199,SDSS-II SN 11532,-0.007932572,0.7987957,56.39961,-0.5860287,-1.7358197
200,SDSS-II SN 12213,-1.7810183,-19.997366,8.38796,-2.2898948,20.135696
201,SDSS-II SN 1257,-15.632053,-2.1899803,-8.327045,4.912778,-5.207635
202,SDSS-II SN 12879,-12.566591,-7.242331,-12.542051,20.289152,-6.7096863
203,SDSS-II SN 12936,-16.93253,-8.32401,10.679346,8.186395,-4.0759845
204,SDSS-II SN 12939,0.9196592,-8.864345,-10.691258,-3.29022,-16.03134
205,SDSS-II SN 12964,-5.3258457,-11.399633,18.418995,-2.586395,-19.151987
206,SDSS-II SN 13051,-9.554778,-8.720032,7.0085545,8.026853,-20.491686
207,SDSS-II SN 13062,14.375824,1.6359346,-19.619904,3.798851,-9.025996
208,SDSS-II SN 13076,-8.694778,-21.436785,6.2045665,0.3134563,20.468441
209,SDSS-II SN 13096,-11.424899,-13.520763,7.3296103,0.72073764,-12.739935
210,SDSS-II SN 13168,1.1758329,-17.748556,10.788442,-19.068357,8.666281
211,SDSS-II SN 13283,-1.8058115,-11.802531,-15.618845,6.8916683,8.827022
212,SDSS-II SN 13291,0.3968765,-14.478454,-6.818166,-0.27405584,1.7247008
213,SDSS-II SN 13330,7.794079,-17.295254,-6.8178024,-11.496091,2.0114882
214,SDSS-II SN 13344,-8.375439,-21.767265,3.6978981,5.4107175,-7.2837243
215,SDSS-II SN 13395,3.4059722,-12.028068,-6.3425446,-11.789606,-23.591438
216,SDSS-II SN 13404,24.25956,-7.477193,2.545431,1.65663,-5.6229625
217,SDSS-II SN 1342,29.565578,-4.7374587,0.8337825,3.4932911,4.0771027
218,SDSS-II SN 13440,-6.6079526,-20.172031,-23.080053,4.018958,-1.997424
219,SDSS-II SN 13441,-10.364352,-20.616632,2.1363034,-3.8161027,0.61192906
220,SDSS-II SN 13460,-3.8563652,-14.366807,2.1562874,13.280609,-3.472306
221,SDSS-II SN 13472,-2.0281157,-7.432257,-10.348262,-20.57602,2.1518707
222,SDSS-II SN 13487,-10.405934,-15.645135,11.268157,3.5852182,-3.1005723
223,SDSS-II SN 13492,23.378975,-17.619358,4.0992084,3.3919623,0.2710489
224,SDSS-II SN 13529,5.639852,-19.072374,10.676947,-10.591664,-15.171662
225,SDSS-II SN 13554,-8.535005,-10.062174,17.979082,7.3615813,-9.946023
226,SDSS-II SN 13644,-17.460957,-2.7925997,-9.664057,-9.209185,-16.816677
227,SDSS-II SN 13646,-8.429107,-3.612602,-1.0380535,21.70809,-16.805693
228,SDSS-II SN 13675,-2.7655752,-28.328407,13.969935,-0.763176,-12.297215
229,SDSS-II SN 13699,5.190128,-18.32238,-14.592455,0.22317383,4.667754
230,SDSS-II SN 13725,-8.518898,0.60607994,-24.820242,8.658363,-1.8573607
231,SDSS-II SN 13803,19.584763,1.3498892,-12.548071,-4.23325,-5.857706
232,SDSS-II SN 13813,-2.6177912,-12.979495,-13.876276,11.426125,-13.5731
233,SDSS-II SN 13833,0.22481626,-21.925499,-4.3826394,-9.654554,8.046528
234,SDSS-II SN 13843,-16.712383,-14.349138,7.182841,3.2903957,12.423095
235,SDSS-II SN 13864,6.971219,-24.05971,-1.617885,3.9993415,-14.701256
236,SDSS-II SN 13931,4.9805193,-17.696863,7.1891165,8.7356415,8.793576
237,SDSS-II SN 1395,5.202104,-11.567856,-5.437135,8.619142,-10.922747
238,SDSS-II SN 14054,-8.540328,-10.821628,-22.376446,11.309658,6.045564
239,SDSS-II SN 14081,-5.987163,-7.3172936,-8.480757,-0.07342913,8.212717
240,SDSS-II SN 14113,14.998365,-22.274975,9.953452,4.681272,-0.15912604
241,SDSS-II SN 14258,-13.778284,-10.418863,18.952044,12.186892,-3.7426412
242,SDSS-II SN 14260,-12.752078,-10.19365,1.3901286,2.7220273,-4.6831546
243,SDSS-II SN 14311,-1.4492644,-7.8013625,25.848658,10.383746,-3.3193197
244,SDSS-II SN 14347,-5.478256,-28.475483,-0.83880156,-2.2544749,-14.265917
245,SDSS-II SN 14361,-7.6884747,-10.820515,1.3393521,-6.3529973,0.9096917
