,SN,0,1
319,SDSS-II SN 18226,0.45372382,15.323585
320,SDSS-II SN 18243,-16.139097,13.453527
321,SDSS-II SN 18253,-10.440662,7.8570433
322,SDSS-II SN 18273,-20.596933,2.4401236
323,SDSS-II SN 18276,-14.195483,2.510209
324,SDSS-II SN 18301,-14.512095,0.4988963
325,SDSS-II SN 18331,-6.014096,4.2790823
326,SDSS-II SN 18376,7.019112,15.078165
327,SDSS-II SN 18387,-19.638168,-4.2673635
328,SDSS-II SN 18405,-22.585272,-3.1056309
329,SDSS-II SN 18454,-15.942512,-4.7705665
330,SDSS-II SN 18479,-18.33299,8.95977
331,SDSS-II SN 18593,0.47756514,16.664259
332,SDSS-II SN 18598,-1.4746534,15.903741
333,SDSS-II SN 18647,-14.541895,18.07402
334,SDSS-II SN 1866,-9.657631,11.878743
335,SDSS-II SN 18664,-9.362786,5.6636376
336,SDSS-II SN 18743,-8.966318,1.383004
337,SDSS-II SN 18848,-1.929324,7.0757513
338,SDSS-II SN 18898,10.906413,14.53923
339,SDSS-II SN 18917,-20.446716,6.1432257
340,SDSS-II SN 18935,-13.069251,0.799981
341,SDSS-II SN 18943,-11.754348,-0.3449425
342,SDSS-II SN 18971,-17.585464,5.4047422
343,SDSS-II SN 18973,-16.737843,-0.3301102
344,SDSS-II SN 18983,7.8285356,14.698461
345,SDSS-II SN 19059,-24.802574,3.4968226
346,SDSS-II SN 19189,-17.284948,-1.9887902
347,SDSS-II SN 19209,-17.096638,3.2483423
348,SDSS-II SN 1921,-24.791286,-1.48405
349,SDSS-II SN 19344,-22.805109,-7.1283193
350,SDSS-II SN 19399,-23.984962,-0.34856945
351,SDSS-II SN 19428,-4.672698,5.356401
352,SDSS-II SN 19434,-20.531471,-0.87638974
353,SDSS-II SN 19461,-21.555496,-0.31923947
354,SDSS-II SN 19467,-17.192823,8.01739
355,SDSS-II SN 19538,1.0874727,15.854921
356,SDSS-II SN 19539,-5.127432,11.769666
357,SDSS-II SN 19683,-10.519613,1.9646446
358,SDSS-II SN 19721,4.7207904,13.819431
359,SDSS-II SN 19723,-13.1223755,13.859441
360,SDSS-II SN 19776,-14.927968,-4.6061606
361,SDSS-II SN 1980,3.2731662,14.121647
362,SDSS-II SN 1982,-3.572053,6.210751
363,SDSS-II SN 1991,-21.373638,0.9199947
364,SDSS-II SN 19986,-14.452727,3.4459026
365,SDSS-II SN 19987,-22.793623,3.550692
366,SDSS-II SN 20216,2.371337,14.223495
367,SDSS-II SN 20231,-12.121571,-4.901313
368,SDSS-II SN 20251,-4.1259894,6.092186
369,SDSS-II SN 20257,-16.966528,2.9185205
370,SDSS-II SN 20369,-1.1378367,11.059002
371,SDSS-II SN 2041,-6.658279,6.3777647
372,SDSS-II SN 20411,-14.705406,3.8030035
373,SDSS-II SN 2042,-20.309208,-4.8783207
374,SDSS-II SN 20467,-5.2820797,13.882941
375,SDSS-II SN 20491,-4.3542933,21.294575
376,SDSS-II SN 20497,-21.665602,9.040856
377,SDSS-II SN 20590,-18.593575,7.6626787
378,SDSS-II SN 20591,-24.682209,2.7028413
379,SDSS-II SN 20613,-23.726007,-2.9233491
380,SDSS-II SN 20646,-10.57327,2.413462
381,SDSS-II SN 20721,-20.312428,-0.062898904
382,SDSS-II SN 2078,-1.9709185,3.3468928
383,SDSS-II SN 20791,-19.440336,0.19169013
384,SDSS-II SN 20805,-6.044842,1.0610178
385,SDSS-II SN 20820,3.0054622,17.527884
386,SDSS-II SN 20842,-24.78331,-2.893762
387,SDSS-II SN 20861,1.1942127,11.579725
388,SDSS-II SN 20870,-20.34872,1.3920814
389,SDSS-II SN 20895,-20.734373,2.7527597
390,SDSS-II SN 20916,-24.786154,3.6652322
391,SDSS-II SN 2093,1.6041794,13.674936
392,SDSS-II SN 20953,-13.893968,0.2982766
393,SDSS-II SN 20956,-6.006404,7.8710823
394,SDSS-II SN 20969,-18.045908,-3.8112779
395,SDSS-II SN 21081,-11.478336,2.7084534
396,SDSS-II SN 21356,-19.73418,5.4984345
397,SDSS-II SN 21359,-4.2803807,-0.17252043
398,SDSS-II SN 21381,-15.855628,7.8147364
399,SDSS-II SN 2148,-21.950283,-5.9763527
400,SDSS-II SN 2149,-1.1634363,22.63926
401,SDSS-II SN 21553,-9.144799,2.412976
402,SDSS-II SN 21709,-4.5903425,17.724386
403,SDSS-II SN 21711,-3.5045447,15.253914
404,SDSS-II SN 2244,-18.268175,-1.3828762
405,SDSS-II SN 2325,-3.5804095,10.950198
406,SDSS-II SN 2464,-19.476458,1.2943883
407,SDSS-II SN 2615,-17.601948,-5.509214
408,SDSS-II SN 2630,-15.448947,16.200695
409,SDSS-II SN 2808,-6.771725,22.760897
410,SDSS-II SN 2912,-19.914068,-1.044494
411,SDSS-II SN 3090,4.8628807,12.548024
412,SDSS-II SN 3196,-15.533704,-0.93801624
413,SDSS-II SN 3344,-7.0153174,11.632887
414,SDSS-II SN 3368,-14.781089,4.9563694
415,SDSS-II SN 3417,3.7610116,22.96429
416,SDSS-II SN 3514,-5.244725,12.925895
417,SDSS-II SN 3529,-1.1058037,9.560833
418,SDSS-II SN 3533,-5.9304695,23.151436
419,SDSS-II SN 3558,-1.39351,16.52032
420,SDSS-II SN 3565,4.3266516,19.881767
421,SDSS-II SN 3983,-17.862406,14.64458
422,SDSS-II SN 4019,-3.6916916,16.208422
423,SDSS-II SN 4044,-11.341685,-4.7678285
424,SDSS-II SN 4104,6.2260795,14.4072695
425,SDSS-II SN 4129,-20.998304,10.202651
426,SDSS-II SN 4181,-2.8743849,17.299047
427,SDSS-II SN 4307,-0.42588323,22.054585
428,SDSS-II SN 4330,-7.762929,5.581006
429,SDSS-II SN 4375,-6.9668093,11.2709675
430,SDSS-II SN 4534,-12.045011,0.8293462
431,SDSS-II SN 4606,-5.753746,3.788339
432,SDSS-II SN 4888,-2.032799,0.87236977
433,SDSS-II SN 4906,0.73167884,14.604125
434,SDSS-II SN 4907,-12.988275,16.53996
435,SDSS-II SN 4966,-1.4897527,18.71082
436,SDSS-II SN 4978,-19.653563,3.193948
437,SDSS-II SN 5001,11.064953,12.883366
438,SDSS-II SN 5235,-12.660955,14.609966
439,SDSS-II SN 5401,-6.9452915,13.229776
440,SDSS-II SN 5468,-13.978897,21.26982
441,SDSS-II SN 5498,-15.880449,3.4061499
442,SDSS-II SN 5590,-16.08883,7.1072006
443,SDSS-II SN 5607,-1.8274244,0.04996991
444,SDSS-II SN 5810,-5.575327,-3.3265116
445,SDSS-II SN 5890,5.208615,16.657877
446,SDSS-II SN 5959,3.1916003,16.660137
447,SDSS-II SN 5963,-4.8930492,21.25528
448,SDSS-II SN 6055,2.914094,18.514267
449,SDSS-II SN 6289,-6.36957,4.98117
450,SDSS-II SN 6327,3.7156165,13.9243355
451,SDSS-II SN 6556,-8.439697,7.20903
452,SDSS-II SN 6560,-8.336607,13.041219
453,SDSS-II SN 6618,-9.919254,9.397062
454,SDSS-II SN 6714,-12.893008,-1.3484939
455,SDSS-II SN 6715,-12.374289,4.8536425
456,SDSS-II SN 7024,-13.073979,2.082531
457,SDSS-II SN 703,-13.157467,15.641211
458,SDSS-II SN 7039,6.410356,17.268467
459,SDSS-II SN 7121,-2.478879,21.708635
460,SDSS-II SN 7123,-2.6311245,16.765574
461,SDSS-II SN 7233,-7.317049,10.135799
462,SDSS-II SN 7499,-21.29582,-6.873222
463,SDSS-II SN 7636,-23.45575,2.178596
464,SDSS-II SN 764,8.301621,14.161989
465,SDSS-II SN 7647,-24.892391,5.1440806
466,SDSS-II SN 7701,-14.710324,6.6406665
467,SDSS-II SN 7725,-5.00801,7.1372614
468,SDSS-II SN 773,8.075747,18.670235
469,SDSS-II SN 801,-1.0129586,12.895671
470,SDSS-II SN 8196,-20.156395,1.4377375
471,SDSS-II SN 8236,-6.299974,12.309178
472,SDSS-II SN 8252,-16.320757,-4.3174
473,SDSS-II SN 8721,-6.4989815,6.873459
474,SDSS-II SN 8744,1.5575585,14.6672945
475,SDSS-II SN 904,1.3308392,15.004142
476,SDSS-II SN 9052,2.0074823,21.230074
477,SDSS-II SN 917,6.747302,14.860911
478,SDSS-II SN 9250,8.284505,13.100724
479,SDSS-II SN 9326,0.62298715,13.731806
480,SDSS-II SN 9424,-23.926949,-5.0930347
481,SDSS-II SN 9632,-22.316492,5.6793227
482,SN2005fj,6.2478733,21.131355
483,SN2005gi,-18.801287,0.64571154
484,SN2005jq,11.677301,19.761635
485,SN2005kq,-10.753069,18.715363
486,SN2005lo,-11.4326725,12.614133
487,SN2005ml,12.386445,20.12105
488,SN2005mn,-18.595146,-2.2380824
489,SN2005mp,-1.3047024,14.220473
490,SN2006ft,5.373238,15.43642
491,SN2006gd,-17.45154,-5.4344015
492,SN2006ge,-9.808446,4.5925837
493,SN2006gk,-21.907972,5.3460755
494,SN2006gl,-7.890515,14.053105
