,SN,0,1,2
365,SDSS-II SN 19987,-0.04951175,-70.26351,-4.634574
366,SDSS-II SN 20216,16.433804,14.713018,-61.539673
367,SDSS-II SN 20231,0.20281783,-37.08196,-2.7286832
368,SDSS-II SN 20251,-24.062399,8.641566,-17.656425
369,SDSS-II SN 20257,14.620063,-47.43726,-21.034195
370,SDSS-II SN 20369,-35.40747,10.567248,-25.933533
371,SDSS-II SN 2041,-24.916145,-17.029867,-23.356874
372,SDSS-II SN 20411,1.4624101,-82.2927,-46.19777
373,SDSS-II SN 2042,-30.365692,-66.517,18.228416
374,SDSS-II SN 20467,-15.328547,11.80725,-41.38174
375,SDSS-II SN 20491,-31.317225,-20.468664,-69.59352
376,SDSS-II SN 20497,35.473637,-64.5388,-36.90732
377,SDSS-II SN 20590,-13.346452,-66.142235,-41.356655
378,SDSS-II SN 20591,9.873584,-73.28705,-10.406762
379,SDSS-II SN 20613,-24.997503,-87.13269,-6.4331927
380,SDSS-II SN 20646,-44.422874,-27.462917,-7.7378044
381,SDSS-II SN 20721,-52.02497,-50.765812,-3.0737228
382,SDSS-II SN 2078,-48.58578,2.5957367,0.4014426
383,SDSS-II SN 20791,-40.601303,-46.874626,-7.3523726
384,SDSS-II SN 20805,-39.27916,-15.052142,18.640259
385,SDSS-II SN 20820,-61.161953,195.41083,-53.904175
386,SDSS-II SN 20842,-8.317494,-85.677956,-9.013043
387,SDSS-II SN 20861,-26.588757,23.256937,-24.139736
388,SDSS-II SN 20870,-54.6817,-46.436806,-23.39151
389,SDSS-II SN 20895,-11.46265,-66.55518,-12.960752
390,SDSS-II SN 20916,6.6910405,-85.68389,-16.68929
391,SDSS-II SN 2093,2.1835132,10.550415,-47.576523
392,SDSS-II SN 20953,-19.421623,-50.366924,-5.0119395
393,SDSS-II SN 20956,-39.771736,0.02324911,-23.650032
394,SDSS-II SN 20969,-5.031084,-61.958008,7.505907
395,SDSS-II SN 21081,-51.349575,-35.073933,1.603809
396,SDSS-II SN 21356,9.3925,-67.32543,-32.783825
397,SDSS-II SN 21359,-16.864962,-13.41178,7.9551206
398,SDSS-II SN 21381,3.8513508,-48.27655,-34.537674
399,SDSS-II SN 2148,-13.116101,-73.50853,11.090893
400,SDSS-II SN 2149,-38.119953,8.250139,-86.84497
401,SDSS-II SN 21553,-36.538795,-21.371271,0.94240344
402,SDSS-II SN 21709,-20.523392,-3.3661053,-59.407875
403,SDSS-II SN 21711,-26.053621,-12.6810665,-49.743088
404,SDSS-II SN 2244,33.42192,-73.991615,4.987193
405,SDSS-II SN 2325,-56.74647,15.712933,-37.81632
406,SDSS-II SN 2464,-42.789097,-44.42401,-22.06812
407,SDSS-II SN 2615,-26.898315,-55.53475,21.529953
408,SDSS-II SN 2630,-23.790586,-35.602192,-49.495155
409,SDSS-II SN 2808,-24.75341,-16.726538,-86.81391
410,SDSS-II SN 2912,-55.19487,-59.733906,-4.5005794
411,SDSS-II SN 3090,8.114139,18.81766,-28.358252
412,SDSS-II SN 3196,1.823355,-47.870617,-3.9690952
413,SDSS-II SN 3344,-23.3658,-20.356236,-34.737873
414,SDSS-II SN 3368,5.0456915,-71.881905,-51.276768
415,SDSS-II SN 3417,-35.725693,20.800688,-56.844387
416,SDSS-II SN 3514,-59.545166,2.8786273,-20.71017
417,SDSS-II SN 3529,-11.954285,-10.439314,-28.713251
418,SDSS-II SN 3533,-33.66581,-25.63108,-83.286446
419,SDSS-II SN 3558,33.67896,-1.4734486,-81.122574
420,SDSS-II SN 3565,-57.19354,43.453876,-62.67296
