,SN,0,1,2,3
329,SDSS-II SN 18454,-9.499761,-19.530495,8.52954,37.4427
330,SDSS-II SN 18479,-36.025013,-1.2384199,-12.516446,17.733517
331,SDSS-II SN 18593,-7.417397,-10.611603,-21.212954,-0.23605779
332,SDSS-II SN 18598,3.956674,14.759864,-34.945038,29.759508
333,SDSS-II SN 18647,-39.781387,2.88186,-25.608881,2.0724583
334,SDSS-II SN 1866,-23.326822,0.1084917,-18.589405,19.29684
335,SDSS-II SN 18664,-9.338826,30.9394,-2.4252434,20.387882
336,SDSS-II SN 18743,-4.6953964,25.589598,6.6213064,21.460508
337,SDSS-II SN 18848,5.8726296,20.873182,-17.694487,9.708983
338,SDSS-II SN 18898,26.37366,-4.976919,-26.8213,-5.867795
339,SDSS-II SN 18917,-39.974968,3.9786055,-4.728806,-0.94142926
340,SDSS-II SN 18935,-17.160872,-0.04290088,-2.8784106,32.995144
341,SDSS-II SN 18943,-12.148898,2.9121273,8.803686,17.280409
342,SDSS-II SN 18971,-29.676775,3.6197133,-5.05881,19.494358
343,SDSS-II SN 18973,-32.19938,-21.647476,15.104839,12.136537
344,SDSS-II SN 18983,12.15844,4.4381785,-24.278257,-0.006154304
345,SDSS-II SN 19059,-47.870956,-2.735366,12.828281,7.681529
346,SDSS-II SN 19189,-27.359539,-8.185461,14.7499275,8.103691
347,SDSS-II SN 19209,-34.986427,-18.764988,9.28829,3.512863
348,SDSS-II SN 1921,-37.472862,5.008143,5.573942,15.810303
349,SDSS-II SN 19344,-34.629772,16.297853,21.298342,21.46598
350,SDSS-II SN 19399,-38.105568,8.470907,-4.315995,26.525093
351,SDSS-II SN 19428,2.0174532,26.298372,-0.67913854,11.713921
352,SDSS-II SN 19434,-26.762962,27.436386,6.0298166,16.833124
353,SDSS-II SN 19461,-36.42807,28.076826,-0.5528741,17.410738
354,SDSS-II SN 19467,-42.673042,-8.772951,-5.0164223,16.49436
355,SDSS-II SN 19538,-0.5861754,-3.0695894,-25.309885,1.956305
356,SDSS-II SN 19539,-0.35241497,-11.26746,-11.885987,18.821901
357,SDSS-II SN 19683,-12.397515,13.641019,2.7967587,18.436518
358,SDSS-II SN 19721,6.5793476,15.962411,-48.07474,-4.3138876
359,SDSS-II SN 19723,-35.76784,-9.395145,-14.612641,-4.8908954
360,SDSS-II SN 19776,-0.43426862,6.569692,23.364784,34.640274
361,SDSS-II SN 1980,-0.9961008,9.5992565,-28.743761,-6.022772
362,SDSS-II SN 1982,1.0223557,25.458921,-12.076941,11.029634
363,SDSS-II SN 1991,-32.425125,15.973204,-2.366395,14.152793
364,SDSS-II SN 19986,-30.84352,-30.344799,1.6759759,21.491768
365,SDSS-II SN 19987,-41.002743,-15.101658,20.668325,1.1954135
366,SDSS-II SN 20216,-8.343092,15.340352,-36.767494,-4.5568666
367,SDSS-II SN 20231,-16.537693,-30.491442,12.078675,4.621996
368,SDSS-II SN 20251,9.023888,15.98234,-11.242608,14.843815
369,SDSS-II SN 20257,-28.742987,-19.882486,5.7734947,-3.6026466
370,SDSS-II SN 20369,7.5783434,18.625454,-21.934937,28.259478
371,SDSS-II SN 2041,-8.4405,19.163626,-8.639998,17.786331
372,SDSS-II SN 20411,-20.058456,-28.15824,4.248379,22.11926
373,SDSS-II SN 2042,-26.16577,7.621528,14.116587,29.189192
374,SDSS-II SN 20467,-8.919195,20.72152,-29.936733,25.990082
375,SDSS-II SN 20491,-16.96018,-9.02168,-31.85381,26.765234
376,SDSS-II SN 20497,-39.637577,-2.171168,-4.095696,-16.636343
377,SDSS-II SN 20590,-33.98541,-4.354174,-7.065937,10.211832
378,SDSS-II SN 20591,-47.478127,3.891076,13.38399,-1.564359
379,SDSS-II SN 20613,-31.777206,-2.8490818,8.272753,28.650284
380,SDSS-II SN 20646,-16.097708,11.562563,-3.2046642,23.498137
381,SDSS-II SN 20721,-30.281898,27.125263,-3.4060802,7.2714615
382,SDSS-II SN 2078,-7.550496,5.2730165,-8.063834,1.191641
383,SDSS-II SN 20791,-22.295742,11.743749,-4.782706,15.054095
384,SDSS-II SN 20805,2.5275955,11.894026,0.44550526,36.288532
