0,1,2,3,4,5,6,7,8,9
SDSS-II SN 13657 (g'r'i'),0.42487872,-0.12848048,-0.10671741,-0.057872802,0.8023758,-1.5400207,-0.47475195,-2.219853,1.9158072
SDSS-II SN 13675 (g'r'i'),-1.689161,-0.27708358,2.603183,0.0040961565,-0.3846423,1.5210481,-0.36202458,0.57581705,-0.26906928
SDSS-II SN 13689 (g'r'i'),-0.11731813,-1.2298123,0.6004082,1.2578415,-0.6525659,1.0624492,0.65803605,1.7300855,-0.5565568
SDSS-II SN 13703 (g'r'i'),-0.78765696,0.4220825,0.3697981,-0.37222803,-0.27084577,1.5199184,1.2292731,1.7959523,0.26719362
SDSS-II SN 13716 (g'r'i'),-0.39764774,1.3586558,-0.41648707,0.13032325,-0.1809353,-1.0687808,0.80351144,-0.8528965,2.1667917
SDSS-II SN 13719 (g'r'i'),-0.61214024,-4.0683265,1.8285874,-0.76220286,0.93007314,-1.1188631,-0.7171592,-0.81682897,-0.9130517
SDSS-II SN 13725 (g'r'i'),-3.0806456,-5.1651964,2.5818832,-0.31893182,-1.5469592,-0.39930183,-0.14366509,2.5469146,-3.326407
SDSS-II SN 13729 (g'r'i'),1.4493505,0.4688319,-0.790582,-0.41103157,0.31796247,-1.8586303,-0.18131821,-1.3833046,2.5878267
SDSS-II SN 13732 (g'r'i'),-0.9546102,-0.23489599,1.8736969,-0.49952474,0.5794269,0.46152326,1.4065686,-1.2930808,1.2231869
SDSS-II SN 13741 (g'r'i'),-1.7582338,-5.4924273,1.5780346,-0.26806808,-0.091195695,-1.4791578,0.05527897,1.7845188,-3.404229
SDSS-II SN 13750 (g'r'i'),0.12739146,0.8318908,-1.0532025,-0.48614946,0.509395,-0.9882787,-1.641587,-2.5082853,1.7658933
SDSS-II SN 13767 (g'r'i'),-2.203551,-5.1006575,1.8309499,-0.16674201,-0.2616558,-1.5978397,-0.7924999,1.2693348,-3.0122008
SDSS-II SN 13768 (g'r'i'),0.09615229,-0.59581214,-0.6501801,0.46237224,-0.47150704,-0.8945087,1.3042196,-0.62818027,1.86055
SDSS-II SN 1378 (g'r'i'),-0.30282915,-2.4608035,0.67563176,0.64978814,0.82503843,-0.07373805,0.34522057,-0.7725333,-0.19337547
SDSS-II SN 13784 (g'r'i'),-1.2234097,-1.8355505,2.1719751,0.18769892,1.1511103,0.6242801,-0.5512849,0.86338127,-0.92125815
SDSS-II SN 13786 (g'r'i'),0.7078137,-0.8672813,-0.76346725,1.4890636,-0.45459408,-1.4697444,0.9614512,-1.7647617,2.0112936
SDSS-II SN 13803 (g'r'i'),-0.39535168,-3.850902,0.7975563,-0.9031468,-0.053232048,-1.3874277,0.042519365,0.022935677,-2.3688958
SDSS-II SN 13813 (g'r'i'),0.33841488,-0.17817138,-1.1370524,0.902745,-0.66088575,-1.0128462,1.3023094,-0.6377586,1.7273852
SDSS-II SN 13815 (g'r'i'),-1.4190202,-3.7342803,1.0771059,0.36178982,1.1067168,-1.3921201,-0.23047729,-0.062486894,-1.4094354
SDSS-II SN 13820 (g'r'i'),1.326707,0.3322117,-2.2092037,0.9755723,-0.9951945,-1.1127143,0.32062855,-1.3883507,1.5586305
SDSS-II SN 13833 (g'r'i'),1.6257591,2.1207762,-0.7910689,-0.47985384,0.85240227,-1.7989808,-0.61440533,-1.6064292,2.3516035
SDSS-II SN 13839 (g'r'i'),-0.15599762,-2.345162,0.23474792,-0.086880684,0.014342965,-0.20883848,1.0336081,-0.84158176,0.1368976
