,SN,0,1,2,3,4,5,6,7
117,SN2005gt,-3.939665,7.815318,-3.284798,12.713994,5.0408754,-2.3192928,0.07414639,-1.8886604
118,SN2005gu,-1.2774913,0.9535083,-6.6698136,6.2570205,10.088542,-7.332837,-1.2952088,-3.8963454
119,SN2005hc,-1.4845235,6.1476493,-2.3079906,-2.6133072,-2.8894012,-2.167908,3.5966995,15.004035
120,SN2005ho,-3.637994,4.588309,0.369678,5.9057627,-0.057488684,-8.398643,2.0625172,11.689222
121,SN2005hx,-5.761009,7.3823733,2.9147973,6.56144,-3.3893113,-1.3678114,3.7645624,11.548386
122,SN2005id,-5.253446,2.4130847,1.3675076,3.8574235,-0.7981349,-0.45410112,10.846871,8.929676
123,SN2005ik,-6.7555895,1.5358275,-4.5811305,11.7543545,0.42880678,-4.486498,-1.7901293,3.8136425
124,SN2005jb,0.6085303,-4.221665,-2.0037627,1.8782178,7.530225,-5.5825863,-0.8079214,-3.758702
125,SN2005jf,-3.8649352,-8.403787,2.6167707,3.4913073,1.4808153,-3.1277153,6.601359,-3.4312265
126,SN2005jl,-1.4919312,7.4300585,-0.7986823,12.789505,-7.73628,-3.6399078,6.2642403,9.2055
127,SN2005jy,2.5263484,2.8166971,-1.8853034,11.82555,2.4776328,0.5574616,-2.7480664,-1.6067477
128,SN2005jz,7.634239,6.1430993,-2.0584455,9.209169,2.5646248,0.15020862,-5.471451,-1.9437678
129,SN2005kn,-4.09806,2.2655067,-4.493787,7.8023214,-3.3744059,5.0684204,1.1970531,-4.961177
130,SN2005li,-1.0766343,7.0027413,-2.585514,10.437436,-5.9337993,-0.48366016,0.52017736,-6.722376
131,SN2006fg,-0.78808033,4.1500273,-4.4154572,-4.5551176,0.6827275,-8.006293,0.32479835,-7.4521146
132,SN2006fx,-2.8741753,-3.368548,-4.75151,1.0025452,-0.03954228,-10.446747,0.64819497,-6.598213
133,SN2006nu,-1.2011174,3.0018606,-6.9941387,10.100832,-8.966134,-3.7068226,2.1176095,4.5221786
134,SN2006ok,0.13388084,3.4119987,5.7817674,10.478193,4.1105537,-2.9387927,2.3517914,3.6599064
135,SN2006oo,-2.6459837,2.243489,-5.2407975,-1.9467882,-9.341059,4.0513387,-4.764827,-2.6142213
136,SN2007ih,-0.29698128,13.362017,-3.4183006,-0.8783684,-0.027131537,-4.7333913,-1.0335228,-1.4307947
137,SN2007mr,-1.4589791,-6.254012,-0.7963828,8.283942,1.0162829,1.0922714,-10.751476,-2.0704253
138,SN2007mt,1.3576859,-8.729865,-2.9094622,-1.5624886,-1.513282,-7.7941213,-0.9307025,-2.4048808
139,SN2007nk,-1.8122874,3.6230664,6.3846474,10.454422,-0.97663516,-6.5406637,0.6282306,-1.6946357
140,SN2007nl,3.6898718,9.62303,2.0248191,1.5258234,3.4072304,-6.7149353,1.4775928,3.5167546
141,SN2007pa,3.4462488,1.4979485,3.1935132,11.642641,-2.1227899,4.0558224,6.147112,0.9692394
142,SN2007qn,3.044205,-6.385875,-0.09869781,4.38038,1.54784,-1.4315872,4.046387,-7.085345
143,SDSS-II SN 13383,1.0977998,10.052735,-2.2309918,6.9474154,4.854229,-3.167496,3.8121412,-2.4848804
144,SDSS-II SN 14268,-4.6210184,5.304596,-5.8170414,3.9256685,1.5273011,-2.4892983,0.81624085,1.6287009
145,SDSS-II SN 14792,-1.679461,-0.1261952,-4.527167,3.6693969,-0.107242465,-1.0664959,-13.211797,-12.859633
146,SDSS-II SN 15697,1.491114,-2.7769046,-6.502553,1.6270195,-2.2975028,8.939011,-1.598539,-9.21322
147,SDSS-II SN 16467,3.2437923,7.808357,-1.1236224,4.6596284,2.8344498,1.8045315,-0.45548466,-7.454245
