Name,g',r',i',claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
SDSS-II SN 13631,17,6,6,II,,SDSS-II SN 13631,0,0,0,0,0,0
SDSS-II SN 13633,6,8,6,Ia;Ia,0.387896,SDSS-II SN 13633,0,0,0,0,0,0
SDSS-II SN 13644,18,18,17,II,,SDSS-II SN 13644,0,0,0,0,0,0
SDSS-II SN 13646,3,6,4,Ia;Ia,0.305435,SDSS-II SN 13646,0,0,0,0,0,0
SDSS-II SN 13657,6,8,8,Ia;Ia,0.259;0.232,SDSS-II SN 13657,0,0,0,0,0,0
SDSS-II SN 1367,7,5,3,II,,SDSS-II SN 1367,0,0,0,0,0,0
SDSS-II SN 13675,7,8,11,Ia;Ia,0.292;0.296;0.263,SDSS-II SN 13675,0,0,0,0,0,0
SDSS-II SN 13689,6,10,15,Ia,0.252;0.252;0.323;0.329;0.238,SDSS-II SN 13689,0,0,0,1,0,1
SDSS-II SN 13699,17,15,12,II,,SDSS-II SN 13699,0,0,0,0,0,0
SDSS-II SN 13703,9,12,14,Ia;Ia,0.2354,SDSS-II SN 13703,0,0,0,0,0,0
SDSS-II SN 13716,4,7,7,Ia;Ia,0.322;0.284,SDSS-II SN 13716,0,0,0,0,0,0
SDSS-II SN 13718,8,12,4,II,,SDSS-II SN 13718,0,0,0,0,0,0
SDSS-II SN 13719,5,6,4,II,0.119584,SDSS-II SN 13719,0,0,0,0,0,0
SDSS-II SN 13725,16,16,16,II,,SDSS-II SN 13725,0,0,0,0,0,0
SDSS-II SN 13729,4,5,4,Ia;Ia,0.343;0.123;0.115,SDSS-II SN 13729,0,0,0,0,0,0
SDSS-II SN 13732,4,5,5,Ia,0.402256,SDSS-II SN 13732,0,0,0,0,0,0
SDSS-II SN 13741,9,6,10,II,,SDSS-II SN 13741,0,0,0,0,0,0
SDSS-II SN 13742,19,16,4,II,,SDSS-II SN 13742,0,0,0,0,0,0
SDSS-II SN 13750,7,6,5,II,0.331974,SDSS-II SN 13750,0,0,0,0,0,0
SDSS-II SN 13767,15,8,5,II,,SDSS-II SN 13767,0,0,0,0,0,0
SDSS-II SN 13768,7,7,8,Ia;Ia,0.258;0.231,SDSS-II SN 13768,0,0,0,0,0,0
SDSS-II SN 1378,6,7,9,Ia,0.125837,SDSS-II SN 1378,0,0,0,0,0,0
SDSS-II SN 13784,6,8,8,Ia;Ia,0.259;0.232,SDSS-II SN 13784,0,0,0,0,0,0
SDSS-II SN 13786,4,7,4,Ia,,SDSS-II SN 13786,0,0,0,0,0,0
SDSS-II SN 13803,10,3,3,II,,SDSS-II SN 13803,0,0,0,0,0,0
SDSS-II SN 1381,11,5,4,II,,SDSS-II SN 1381,0,0,0,0,0,0
SDSS-II SN 13813,5,6,4,Ia;Ia,0.23646,SDSS-II SN 13813,0,0,0,0,0,0
SDSS-II SN 13815,3,7,8,II,0.133715,SDSS-II SN 13815,0,0,0,0,0,0
SDSS-II SN 13820,6,8,8,Ia,0.135721,SDSS-II SN 13820,0,0,0,0,0,0
SDSS-II SN 13833,3,7,5,Ia;Ia,0.516581,SDSS-II SN 13833,0,0,0,0,0,0
SDSS-II SN 13839,14,16,16,II;Ia,0.289,SDSS-II SN 13839,0,0,0,0,0,0
SDSS-II SN 13842,4,14,7,II,,SDSS-II SN 13842,0,0,0,0,0,0
SDSS-II SN 13843,5,10,4,Ia,0.433,SDSS-II SN 13843,0,0,0,0,0,0
SDSS-II SN 13846,12,11,9,II,,SDSS-II SN 13846,0,0,0,0,0,0
SDSS-II SN 13849,12,11,5,II,,SDSS-II SN 13849,0,0,0,0,0,0
SDSS-II SN 1385,5,4,5,Ia;Ia,0.336879,SDSS-II SN 1385,0,0,0,0,0,0
SDSS-II SN 13857,11,7,3,II,,SDSS-II SN 13857,0,0,0,0,0,0
SDSS-II SN 13859,9,8,9,Ia;Ia,0.324;0.281,SDSS-II SN 13859,0,0,0,0,0,0
SDSS-II SN 13861,5,8,8,Ia;Ia,0.393679,SDSS-II SN 13861,0,0,0,0,0,0
SDSS-II SN 13862,11,11,5,II,,SDSS-II SN 13862,0,0,0,0,0,0
SDSS-II SN 13864,10,11,9,Ia;Ia,0.2931,SDSS-II SN 13864,0,0,0,0,0,0
SDSS-II SN 13868,6,8,7,II,0.187534,SDSS-II SN 13868,0,0,0,0,0,0
SDSS-II SN 13887,11,13,4,II,,SDSS-II SN 13887,0,0,0,0,0,0
SDSS-II SN 13896,7,10,9,Ia;Ia,0.157317,SDSS-II SN 13896,0,0,0,0,0,0
SDSS-II SN 13903,4,5,4,Ia?,0.2635,SDSS-II SN 13903,0,0,0,0,0,0
SDSS-II SN 13909,7,9,10,Ia,0.29329,SDSS-II SN 13909,0,0,0,0,0,0
SDSS-II SN 13923,15,15,12,II,,SDSS-II SN 13923,0,0,0,0,0,0
SDSS-II SN 13931,4,6,6,Ia,,SDSS-II SN 13931,0,0,0,0,0,0
SDSS-II SN 13932,6,7,9,II,0.184459,SDSS-II SN 13932,0,0,0,0,0,0
SDSS-II SN 13935,11,8,3,II,,SDSS-II SN 13935,0,0,0,0,0,0
SDSS-II SN 13943,14,13,16,II,,SDSS-II SN 13943,0,0,0,0,0,0
SDSS-II SN 13946,3,4,3,Ia,0.245902,SDSS-II SN 13946,0,0,0,0,0,0
SDSS-II SN 1395,6,3,4,Ia,0.186404,SDSS-II SN 1395,0,0,0,0,0,0
SDSS-II SN 13955,8,15,13,II,,SDSS-II SN 13955,0,0,0,0,0,0
SDSS-II SN 13957,15,14,7,II,,SDSS-II SN 13957,0,0,0,0,0,0
SDSS-II SN 13968,4,8,8,II,,SDSS-II SN 13968,0,0,0,0,0,0
SDSS-II SN 13971,6,4,5,Ia,0.261899,SDSS-II SN 13971,0,0,0,0,0,0
SDSS-II SN 13991,5,5,5,II,,SDSS-II SN 13991,0,0,0,0,0,0
SDSS-II SN 13995,5,7,6,II,,SDSS-II SN 13995,0,0,0,0,0,0
SDSS-II SN 13997,14,6,5,II,,SDSS-II SN 13997,0,0,0,0,0,0
SDSS-II SN 14002,13,6,5,II,,SDSS-II SN 14002,0,0,0,0,0,0
SDSS-II SN 14013,3,6,4,II;Ia,0.202;0.184,SDSS-II SN 14013,0,0,0,0,0,0
SDSS-II SN 14015,7,11,7,II;Ia,0.328;0.286,SDSS-II SN 14015,0,0,0,0,0,0
SDSS-II SN 14028,15,9,7,II,,SDSS-II SN 14028,0,0,0,0,0,0
SDSS-II SN 14039,15,17,8,II,,SDSS-II SN 14039,0,0,0,0,0,0
SDSS-II SN 14053,5,9,6,II,0.141276,SDSS-II SN 14053,0,0,0,0,0,0
SDSS-II SN 14054,15,14,12,II,,SDSS-II SN 14054,0,0,0,0,0,0
SDSS-II SN 14058,11,8,3,II,,SDSS-II SN 14058,0,0,0,0,0,0
SDSS-II SN 14065,10,5,5,II,,SDSS-II SN 14065,0,0,0,0,0,0
SDSS-II SN 14074,5,7,8,Ia;Ia,0.26192,SDSS-II SN 14074,0,0,0,0,0,0
SDSS-II SN 14079,8,4,3,II,,SDSS-II SN 14079,0,0,0,0,0,0
SDSS-II SN 14081,8,15,13,II,,SDSS-II SN 14081,0,0,0,0,0,0
SDSS-II SN 14085,8,6,8,II,,SDSS-II SN 14085,0,0,0,0,0,0
SDSS-II SN 1409,15,16,15,II,,SDSS-II SN 1409,0,0,0,0,0,0
SDSS-II SN 14102,5,6,5,II,,SDSS-II SN 14102,0,0,0,0,0,0
SDSS-II SN 14113,4,5,3,Ia;Ia,0.242319,SDSS-II SN 14113,0,0,0,0,0,0
SDSS-II SN 14121,18,21,11,II,,SDSS-II SN 14121,0,0,0,0,0,0
SDSS-II SN 14139,10,12,10,II,,SDSS-II SN 14139,0,0,0,0,0,0
SDSS-II SN 14145,13,8,6,II,,SDSS-II SN 14145,0,0,0,0,0,0
SDSS-II SN 14148,13,8,13,II,,SDSS-II SN 14148,0,0,0,0,0,0
SDSS-II SN 14152,3,3,3,II,,SDSS-II SN 14152,0,0,0,0,0,0
SDSS-II SN 14155,3,7,5,II,,SDSS-II SN 14155,0,0,0,0,0,0
SDSS-II SN 14165,15,13,6,II,,SDSS-II SN 14165,0,0,0,0,0,0
SDSS-II SN 14170,12,8,3,II,,SDSS-II SN 14170,0,0,0,0,0,0
SDSS-II SN 14172,18,10,3,II,,SDSS-II SN 14172,0,0,0,0,0,0
